model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
SVC-linear,SVC-linear_R1_C0.01_pca3,"{'model__C': 0.01, 'pca__n_components': 3}",0.2939718532485651,0.05057838999045609,0.32341611524283603,0.05751069533919755,0.33870435066364457,0.06813891945002203,0.23860363011453836,0.049111278242841824,0.12915344459518513,0.0584461557220267,0.7020387460007492,0.03983286079057988,0.31702002357787074,0.03309633277547167,0.37340012533000055,0.36219604033465075,0.30919637156250973,0.06822418708608563,0.07059274144797137
SVC-linear,SVC-linear_R1_C0.01_pca5,"{'model__C': 0.01, 'pca__n_components': 5}",0.3802217085764097,0.022683159493793792,0.39816770735123885,0.018851087630437604,0.5146806325619699,0.05932222149176024,0.35390498156070993,0.022331603311078772,0.2332159411640531,0.037908883448358195,0.7682140058437905,0.03015156373091073,0.41613741506147167,0.054785626254811155,0.46221678906806934,0.47451895588788506,0.4452444124317728,0.09429724731147537,0.09133943087106289
SVC-linear,SVC-linear_R1_C0.01_pca8,"{'model__C': 0.01, 'pca__n_components': 8}",0.44919710208055796,0.05394843605972109,0.4377062779810146,0.03521097827194239,0.5566013846760223,0.05958930515547398,0.41322326516384444,0.05137378993738848,0.3083403940401862,0.06722859400548646,0.8127715997275755,0.02795763467259078,0.47573120670822744,0.04947123154766352,0.5143748896307216,0.550606115000208,0.5160827290794252,0.10140901291964999,0.10285946391558076
SVC-linear,SVC-linear_R1_C0.01_pca12,"{'model__C': 0.01, 'pca__n_components': 12}",0.4847976650819672,0.06333174570771391,0.4605842251858291,0.038139041883285325,0.5871738777402975,0.06711887926525077,0.4401751669231272,0.05865443176997209,0.35231359597409273,0.07826966848446229,0.8439541954045499,0.03187690870982642,0.5202805826267314,0.06484870650934642,0.545537515845635,0.5800514290550913,0.5415416674001474,0.09525376397312413,0.10136650047702023
SVC-linear,SVC-linear_R1_C0.1_pca3,"{'model__C': 0.1, 'pca__n_components': 3}",0.29494469705105825,0.0484494813914946,0.32837396683955794,0.05085343747184532,0.34174390463641763,0.06422039583538788,0.24237119922690167,0.042761603691666414,0.13182799410951856,0.05397903822569658,0.7026036061201845,0.03940646484466518,0.31901337462079865,0.030567596542219525,0.37576619030081987,0.36848940289510296,0.3180010056928556,0.07354470584404471,0.07562980646595394
SVC-linear,SVC-linear_R1_C0.1_pca5,"{'model__C': 0.1, 'pca__n_components': 5}",0.4099101634234178,0.03250831944366431,0.4405055091040923,0.018981295175372365,0.5532495548391203,0.05249587549203052,0.3885089021117496,0.02728264666095503,0.2798829634778356,0.0520029551514331,0.7778035788754811,0.02869816734777803,0.43846345277342474,0.05329031802706973,0.4889712788746974,0.4872489660377264,0.46068481280059786,0.07733880261430859,0.07217591068884827
SVC-linear,SVC-linear_R1_C0.1_pca8,"{'model__C': 0.1, 'pca__n_components': 8}",0.4671980472401426,0.059679861109996575,0.4520280760546223,0.04455607400009756,0.5871678360065214,0.059235557471867845,0.4380264485961975,0.05698741396091396,0.3338900139317095,0.07324652393122469,0.8203250294898801,0.028885010393102303,0.501569920803809,0.06515110428477358,0.5355137921219537,0.5736358329512798,0.5431599787476674,0.10643778571113727,0.10513353015146992
SVC-linear,SVC-linear_R1_C0.1_pca12,"{'model__C': 0.1, 'pca__n_components': 12}",0.5179629159289683,0.06507973097882482,0.48179080311417,0.05626971616922172,0.6124506738640079,0.05178743040790295,0.4794733925416126,0.06457217155328132,0.38454194886248116,0.08440854461975149,0.8618650999748718,0.033959417807217715,0.5824787011340341,0.08987065985569705,0.5847410227022958,0.6237318027134702,0.5889854135407802,0.10576888678450191,0.10951202099916757
SVC-linear,SVC-linear_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.2947516480113376,0.04712296914047778,0.32761198280894993,0.04969127236733771,0.3408867146057898,0.06278404553974039,0.2422471284161281,0.04092087689396816,0.13060404038144435,0.053622894371196175,0.7024966550368333,0.03944423526454573,0.3190747695705529,0.030633083796438608,0.3755413060591344,0.3684896450008084,0.3181458853763398,0.07373799698947081,0.0758987569602117
SVC-linear,SVC-linear_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.4117494411971182,0.034325391356704975,0.44694612782669313,0.021932621174216634,0.5575132056080454,0.047189367578947636,0.3914891667617951,0.029943951236176505,0.2833385361614359,0.05331335115862155,0.779806380123321,0.02694037484883883,0.4427175600616199,0.05571491311218499,0.49195866496804425,0.4931036480317757,0.4667931839619969,0.0813542068346575,0.0753040172002018
