tag,iterations,depth,learning_rate,l2_leaf_reg,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,1,0.6796349663784822,0.6853555058902208,0.6796349663784822,0.647142808018815,0.8947815255305722,0.7721976998222947
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,2,0.6781940441882806,0.6833873224956001,0.6781940441882806,0.6435251119161678,0.9000638376631769,0.7769932540266733
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,3,0.6724303554274735,0.6765717142031075,0.6724303554274735,0.6344588043480338,0.9070714695023583,0.7872006491609279
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,4,0.6820365033621518,0.6899368763750485,0.6820365033621518,0.6478789380931705,0.9033789158590679,0.7800023158675272
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,5,0.6775588659298414,0.6830867083695183,0.6775588659298414,0.6467616461827086,0.9000235239991385,0.7828937282167368
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,100,4,0.01,5,1,0.6767531219980788,0.6821983122006846,0.6767531219980788,0.6435033506400024,0.891670216857268,0.7658834629059745
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,100,4,0.01,5,2,0.6743515850144092,0.6804008559934396,0.6743515850144092,0.6377753418151774,0.8980502798871927,0.7732587282074692
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,100,4,0.01,5,3,0.6661863592699327,0.6712500125737408,0.6661863592699327,0.6253684719414766,0.9044261497912665,0.7814403776030749
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,100,4,0.01,5,4,0.6772334293948127,0.6846702199193897,0.6772334293948127,0.6432647134179017,0.8999721112586585,0.7730891597737953
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,100,4,0.01,5,5,0.6732340221047574,0.6790674161699095,0.6732340221047574,0.6422035036548474,0.8974888133277206,0.7779660016877507
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,100,4,0.1,1,1,0.8328530259365994,0.8327897150865732,0.8328530259365994,0.8318161016021931,0.9703195287416004,0.9267986198800133
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,100,4,0.1,1,2,0.8525456292026897,0.854268118861956,0.8525456292026897,0.8511593435628713,0.9720674066418175,0.9305664195374627
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,100,4,0.1,1,3,0.8477425552353506,0.8474251290482618,0.8477425552353506,0.8457693412296166,0.9743347716868334,0.9328171266501122
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,100,4,0.1,1,4,0.8453410182516811,0.8459200262157583,0.8453410182516811,0.8443321750564745,0.9745209576965607,0.935652386799222
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,100,4,0.1,1,5,0.8351753964440173,0.8364251144976964,0.8351753964440173,0.83401139233191,0.965437837877972,0.917863264797413
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,100,4,0.1,5,1,0.8304514889529299,0.8310388956016069,0.8304514889529299,0.8288330302467651,0.9678594099572722,0.9210261346748927
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,100,4,0.1,5,2,0.845821325648415,0.8467711164260892,0.845821325648415,0.8435541511533675,0.9702254280504501,0.9254079515933584
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,100,4,0.1,5,3,0.8381364073006724,0.8398930657669816,0.8381364073006724,0.8349718971226046,0.9731715319071048,0.9293676345944896
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,100,4,0.1,5,4,0.8419788664745437,0.8434642476549092,0.8419788664745437,0.8404210396762447,0.9707633541554415,0.9271259946022851
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,100,4,0.1,5,5,0.8303700144161461,0.8315719386929067,0.8303700144161461,0.8290356271075975,0.9630098559247617,0.9129413828902584
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,100,10,0.01,1,1,0.8251681075888568,0.8297065113380385,0.8251681075888568,0.8226003719324595,0.9673160761059509,0.9171906785231444
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,100,10,0.01,1,2,0.8304514889529299,0.8333076115522365,0.8304514889529299,0.8278832030114173,0.9670081207391787,0.9176121540724941
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,100,10,0.01,1,3,0.8366954851104706,0.8400015573910913,0.8366954851104706,0.8331484991301957,0.9728431062654388,0.9293234341252073
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,100,10,0.01,1,4,0.8390970220941403,0.8421273369250102,0.8390970220941403,0.8364504669322494,0.9693549440812522,0.9210445921961089
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,100,10,0.01,1,5,0.8246035559827006,0.8294045117017568,0.8246035559827006,0.8222676279907801,0.9640061233492231,0.9111484144941504
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,100,10,0.01,5,1,0.8194044188280499,0.8244670645484248,0.8194044188280499,0.8163544871426051,0.9645541284612997,0.9100987415223405
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,100,10,0.01,5,2,0.8208453410182517,0.824042850596853,0.8208453410182517,0.8177655235792167,0.9635295428273221,0.9086365177520941
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,100,10,0.01,5,3,0.8318924111431316,0.8357639245523492,0.8318924111431316,0.828097884798583,0.9701362579986313,0.922643659861631
iterations=100 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,100,10,0.01,5,4,0.829971181556196,0.8344762875742181,0.829971181556196,0.8266388653045784,0.9667066563705905,0.9142471484755503
