tag,filters,kernel_size,dropout,learning_rate,batch_size,epochs,fold,accuracy,precision,recall,F1,auroc,prauc
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.001,32,100,1,0.8751200768491835,0.8779357395812059,0.8751200768491835,0.8759491386901267,0.9828594214477956,0.954616609159294
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.001,32,100,2,0.878001921229587,0.8823052390619236,0.878001921229587,0.8792640302140429,0.9844908912855811,0.9578075901978168
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.001,32,100,3,0.8909702209414025,0.8948638645074589,0.8909702209414025,0.8918627875768197,0.986537667571591,0.9623921825954769
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.001,32,100,4,0.8861671469740634,0.8891125509103661,0.8861671469740634,0.886968146792435,0.9861665940728914,0.9627235472503488
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.001,32,100,5,0.8740989908697742,0.8785219604223407,0.8740989908697742,0.8752363178603886,0.983007080136965,0.9524273032124038
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.0001,32,100,1,0.8237271853986552,0.8273383624287892,0.8237271853986552,0.8245866187990585,0.9686932209078938,0.9216644778722495
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.0001,32,100,2,0.835254562920269,0.8413020565519156,0.835254562920269,0.8366668931048783,0.9693529175939934,0.9220490605262402
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.0001,32,100,3,0.8539865513928915,0.8564788852611955,0.8539865513928915,0.8547793662490767,0.975107356716318,0.9360276295746522
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.0001,32,100,4,0.8390970220941403,0.843485833422331,0.8390970220941403,0.8404454558261483,0.9744840828776966,0.9330330080861068
"filters=(32, 64) | kernel_size=2 | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(32, 64)",2,0.1,0.0001,32,100,5,0.8366170110523786,0.8397100677962177,0.8366170110523786,0.8376394744962461,0.9695538050766134,0.9205476582705667
"filters=(32, 64) | kernel_size=2 | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(32, 64)",2,0.3,0.001,32,100,1,0.8170028818443804,0.8306227355055184,0.8170028818443804,0.8178482165338271,0.9671347503384682,0.9164815773447347
