tag,iterations,depth,learning_rate,l2_leaf_reg,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.01,1,0.1,,1,0.6857142857142857,0.7027417027417027,0.6857142857142857,0.658745275888133,0.8903249571956836,0.7862049046066565
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.01,1,0.1,,2,0.7307692307692307,0.7394350470228397,0.7307692307692307,0.7016254840420267,0.9118117114892141,0.8031319711586513
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.01,1,0.1,,3,0.7692307692307693,0.772265625,0.7692307692307693,0.7469245769782442,0.9581872815102949,0.8948402554535847
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.01,1,0.1,,4,0.7692307692307693,0.7599798781340363,0.7692307692307693,0.7557310744810745,0.925139951017144,0.8575330382638888
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.01,1,0.1,,5,0.7403846153846154,0.753183275058275,0.7403846153846154,0.7155251911830859,0.9398675114614631,0.8630261875633048
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.01,1,5.0,,1,0.45714285714285713,0.4063426607756504,0.45714285714285713,0.33346706203849064,0.5873947240649013,0.4345075153074114
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.01,1,5.0,,2,0.47115384615384615,0.6505467571644042,0.47115384615384615,0.32196480812252626,0.644383914159456,0.49899050998115313
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.01,1,5.0,,3,0.4519230769230769,0.3729967948717948,0.4519230769230769,0.3272518080210388,0.6025193020678057,0.4286364518128646
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.01,1,5.0,,4,0.47115384615384615,0.5417152292152292,0.47115384615384615,0.33596646567536975,0.6720957958832057,0.4872127108626618
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.01,1,5.0,,5,0.4423076923076923,0.35455955334987593,0.4423076923076923,0.3288465286883794,0.6274971018593476,0.4543179156751443
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,100,4,0.01,5,0.1,,1,0.6761904761904762,0.7015773115773115,0.6761904761904762,0.6513274890174587,0.8713037559569089,0.761466466925365
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,100,4,0.01,5,0.1,,2,0.6442307692307693,0.6900728930001082,0.6442307692307693,0.6002182246172632,0.8843978504582221,0.756384516753357
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,100,4,0.01,5,0.1,,3,0.7596153846153846,0.771520365599313,0.7596153846153846,0.7373647306200779,0.9491602203934506,0.8739776904175436
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,100,4,0.01,5,0.1,,4,0.7211538461538461,0.7196738825837186,0.7211538461538461,0.7024662242767309,0.9183798170640276,0.8488668444841202
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=0.1 | n_measurements=None,100,4,0.01,5,0.1,,5,0.6730769230769231,0.7148663836163837,0.6730769230769231,0.6370644130120471,0.9291078254481877,0.8390040503421248
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,100,4,0.01,5,5.0,,1,0.45714285714285713,0.4424101068999028,0.45714285714285713,0.33224606081748936,0.5958013536940974,0.43810597848553784
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,100,4,0.01,5,5.0,,2,0.46153846153846156,0.42737117251680357,0.46153846153846156,0.30163461538461545,0.6283520253205496,0.49030080886485944
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,100,4,0.01,5,5.0,,3,0.46153846153846156,0.4311383061383061,0.46153846153846156,0.3201580611169652,0.5982304355240372,0.41415191379434046
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,100,4,0.01,5,5.0,,4,0.46153846153846156,0.537557121096725,0.46153846153846156,0.3170469507969508,0.6749910693022148,0.5001400539460605
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5 | lambda_=5 | n_measurements=None,100,4,0.01,5,5.0,,5,0.4230769230769231,0.2950657894736842,0.4230769230769231,0.29568092467028634,0.613448961777683,0.4342287426445146
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.1,1,0.1,,1,0.7142857142857143,0.7178331300622323,0.7142857142857143,0.7053627965775728,0.9294938800375794,0.8472241988611185
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.1,1,0.1,,2,0.8461538461538461,0.8585609207036158,0.8461538461538461,0.8391125743352463,0.9768056547855308,0.9276512922098146
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.1,1,0.1,,3,0.9326923076923077,0.9364409628832705,0.9326923076923077,0.9303807303807303,0.9912905483080922,0.9821011073740995
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.1,1,0.1,,4,0.8653846153846154,0.8682153630683043,0.8653846153846154,0.8635576516215614,0.950123706702654,0.9099025166607098
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=0.1 | n_measurements=None,100,4,0.1,1,0.1,,5,0.8461538461538461,0.8590423465423467,0.8461538461538461,0.8444940255048018,0.9720432331442617,0.9487320636210591
iterations=100 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1 | lambda_=5 | n_measurements=None,100,4,0.1,1,5.0,,1,0.42857142857142855,0.4219605791034362,0.42857142857142855,0.35445572348798154,0.603879080713149,0.48454790208044146
