tag,C,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,1,0.5396825396825397,0.4405458089668616,0.5396825396825397,0.42614379084967313,0.8072573724560835,0.6749621166424004
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,2,0.49206349206349204,0.42962962962962964,0.49206349206349204,0.3612596553773024,0.847508794662393,0.7459671971628425
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,3,0.49206349206349204,0.3775894538606403,0.49206349206349204,0.36015325670498083,0.8520121164589478,0.7348330973592617
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,4,0.5,0.4240021869874248,0.5,0.3693223952539859,0.8261795719985788,0.6665862147449072
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,5,0.46774193548387094,0.4331041776837652,0.46774193548387094,0.314268454754138,0.8290206362680896,0.7549952310102055
C=0.1 | lambda_=0.1 | n_measurements=1024,0.1,0.1,1024,1,0.5396825396825397,0.4405458089668616,0.5396825396825397,0.42614379084967313,0.8272949948567564,0.7115440705653996
C=0.1 | lambda_=0.1 | n_measurements=1024,0.1,0.1,1024,2,0.49206349206349204,0.42962962962962964,0.49206349206349204,0.3612596553773024,0.8397535789587348,0.7323630198379264
C=0.1 | lambda_=0.1 | n_measurements=1024,0.1,0.1,1024,3,0.49206349206349204,0.3775894538606403,0.49206349206349204,0.36015325670498083,0.8538398149568933,0.7249201846659106
C=0.1 | lambda_=0.1 | n_measurements=1024,0.1,0.1,1024,4,0.5,0.4240021869874248,0.5,0.3693223952539859,0.8134545966094419,0.6297725518723893
C=0.1 | lambda_=0.1 | n_measurements=1024,0.1,0.1,1024,5,0.46774193548387094,0.4331041776837652,0.46774193548387094,0.314268454754138,0.8344363636795974,0.7554799379502081
C=0.1 | lambda_=5 | n_measurements=256,0.1,5.0,256,1,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.6974383328667657,0.5763906046294579
C=0.1 | lambda_=5 | n_measurements=256,0.1,5.0,256,2,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.7805360999602363,0.6620316274305245
C=0.1 | lambda_=5 | n_measurements=256,0.1,5.0,256,3,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.712300152766526,0.5998505589567956
C=0.1 | lambda_=5 | n_measurements=256,0.1,5.0,256,4,0.45161290322580644,0.2039542143600416,0.45161290322580644,0.2810035842293907,0.6068011415092353,0.47474754748356973
C=0.1 | lambda_=5 | n_measurements=256,0.1,5.0,256,5,0.45161290322580644,0.2039542143600416,0.45161290322580644,0.2810035842293907,0.73992514662911,0.5393814449236127
C=0.1 | lambda_=5 | n_measurements=1024,0.1,5.0,1024,1,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.6957163224790818,0.5709588908084113
C=0.1 | lambda_=5 | n_measurements=1024,0.1,5.0,1024,2,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.7570817725316875,0.6144891773563066
