tag,C,tol,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,1,0.5238095238095238,0.39360781062908723,0.5238095238095238,0.40385754301720683,0.8750872522038494,0.7363519834925739
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,2,0.5384615384615384,0.5124465811965812,0.5384615384615384,0.44144251614027435,0.8272944542939383,0.6901964470630364
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,3,0.5480769230769231,0.6329716479173002,0.5480769230769231,0.44112797996896597,0.9026611641807721,0.8109794354252391
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,4,0.5096153846153846,0.3610835401157982,0.5096153846153846,0.3838536463536463,0.8584283000949667,0.7403565422309357
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,5,0.5096153846153846,0.43090800951625696,0.5096153846153846,0.38776672045902816,0.9116022754105029,0.8079990559673541
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.8693639735986244,0.773207216218162
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.8567147821791785,0.7828151041266715
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9039098815414603,0.8289261690325257
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.8854745324430568,0.8036294611401301
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.7937083406946182,0.6604088601912058
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6827400724560337,0.5412789901284983
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6738071086884296,0.5112446525470073
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.718962664538,0.5346521728357769
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.738001037872039,0.5530337012285365
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6420888951243302,0.4748443106462941
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
