tag,C,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,,1,0.5428571428571428,0.6268398268398268,0.5428571428571428,0.4431947137829491,0.8826224283278729,0.7511454600624732
C=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,,2,0.5673076923076923,0.5574436339522546,0.5673076923076923,0.4855612986556053,0.8157950232124638,0.6514547819814437
C=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,,3,0.5480769230769231,0.6329716479173002,0.5480769230769231,0.44112797996896597,0.906614082130078,0.8148826502886267
C=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,,4,0.5384615384615384,0.5345619658119658,0.5384615384615384,0.43964348708874257,0.8560403858649472,0.7378213008881352
C=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,,5,0.5096153846153846,0.43090800951625696,0.5096153846153846,0.38776672045902816,0.897796180819472,0.7932870422735303
C=0.1 | lambda_=5 | n_measurements=None,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.7262643521016204,0.5513101410068388
C=0.1 | lambda_=5 | n_measurements=None,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6743244643786439,0.5092261080563096
C=0.1 | lambda_=5 | n_measurements=None,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.7756311026434866,0.6079130620480119
C=0.1 | lambda_=5 | n_measurements=None,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6732213578188809,0.4544330043198538
C=0.1 | lambda_=5 | n_measurements=None,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6920570737251179,0.5111133489379397
C=1 | lambda_=0.1 | n_measurements=None,1.0,0.1,,1,0.7523809523809524,0.7675087719298247,0.7523809523809524,0.7435660348281706,0.9321579630252808,0.843250511750528
C=1 | lambda_=0.1 | n_measurements=None,1.0,0.1,,2,0.7115384615384616,0.7224893162393162,0.7115384615384616,0.6920084072286499,0.8736071051602529,0.7403003301346344
C=1 | lambda_=0.1 | n_measurements=None,1.0,0.1,,3,0.7884615384615384,0.8064280626780628,0.7884615384615384,0.7875526583357968,0.951506421281963,0.9011975115622141
C=1 | lambda_=0.1 | n_measurements=None,1.0,0.1,,4,0.7211538461538461,0.7225045787545787,0.7211538461538461,0.7058331860234193,0.9123231868845904,0.838269795140013
C=1 | lambda_=0.1 | n_measurements=None,1.0,0.1,,5,0.6923076923076923,0.6939757799671592,0.6923076923076923,0.6739257210202673,0.9341974489962996,0.8683749010448848
C=1 | lambda_=5 | n_measurements=None,1.0,5.0,,1,0.49523809523809526,0.4722472039663323,0.49523809523809526,0.4664852607709751,0.7593038646406031,0.6021127908596505
C=1 | lambda_=5 | n_measurements=None,1.0,5.0,,2,0.5480769230769231,0.5292423156553591,0.5480769230769231,0.5090461213612423,0.6833208744586454,0.5192744058047383
C=1 | lambda_=5 | n_measurements=None,1.0,5.0,,3,0.5865384615384616,0.5659694107062528,0.5865384615384616,0.5544456813511691,0.7956046266159787,0.6204633676909097
C=1 | lambda_=5 | n_measurements=None,1.0,5.0,,4,0.5096153846153846,0.48958333333333337,0.5096153846153846,0.49282231872551396,0.6998911410418119,0.48878694029791503
C=1 | lambda_=5 | n_measurements=None,1.0,5.0,,5,0.5384615384615384,0.561116981309289,0.5384615384615384,0.519542656993509,0.7271355686998113,0.5653455155736238
C=10 | lambda_=0.1 | n_measurements=None,10.0,0.1,,1,0.8095238095238095,0.8135198135198136,0.8095238095238095,0.8083183804922934,0.9408832093201673,0.8782504786447011
C=10 | lambda_=0.1 | n_measurements=None,10.0,0.1,,2,0.8461538461538461,0.8516071192957987,0.8461538461538461,0.842227812837569,0.9671000443962261,0.9278264248153535
C=10 | lambda_=0.1 | n_measurements=None,10.0,0.1,,3,0.9038461538461539,0.912985874524336,0.9038461538461539,0.9014402447369481,0.9799095316639176,0.9609930730447669
C=10 | lambda_=0.1 | n_measurements=None,10.0,0.1,,4,0.7884615384615384,0.8386752136752137,0.7884615384615384,0.8012517712599074,0.9398235617533862,0.8769805647875041
C=10 | lambda_=0.1 | n_measurements=None,10.0,0.1,,5,0.8173076923076923,0.8239939458689458,0.8173076923076923,0.8174668510998884,0.9500844101116334,0.9077558009980036
C=10 | lambda_=5 | n_measurements=None,10.0,5.0,,1,0.49523809523809526,0.5146705146705146,0.49523809523809526,0.4962795015496478,0.7660469389734132,0.6153548904173413
C=10 | lambda_=5 | n_measurements=None,10.0,5.0,,2,0.5288461538461539,0.5193570318570319,0.5288461538461539,0.5200137904073557,0.6925968190545075,0.5142767364189186
C=10 | lambda_=5 | n_measurements=None,10.0,5.0,,3,0.6057692307692307,0.6108653846153846,0.6057692307692307,0.6065968203023607,0.7846024112148984,0.5914985955611286
C=10 | lambda_=5 | n_measurements=None,10.0,5.0,,4,0.5673076923076923,0.5870825545937439,0.5673076923076923,0.569428796438062,0.7308940400271668,0.5355231591302941
C=10 | lambda_=5 | n_measurements=None,10.0,5.0,,5,0.6153846153846154,0.6125064470969644,0.6153846153846154,0.6099265191317405,0.7463788551012949,0.5754558468994647
