tag,n_estimators,learning_rate,max_depth,rate_drop,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.92701581151675,0.8510778164567875
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9145166838665291,0.8395830903762239
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9759109311740891,0.9538108150081747
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9475533563252861,0.8991264068560938
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9374943315332976,0.8828349277726051
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,4,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6626690712763875,0.5175854132585462
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,4,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.668812900778845,0.5431994728730941
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,4,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6288181856938307,0.4412174647668631
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,4,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.689893721021172,0.4932310640385108
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,4,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6325093546978598,0.47313011019682527
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.5,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9162974925600552,0.8268300415593176
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.5,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.8971013086596161,0.8219002333272389
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.5,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9693445161840415,0.9329199732771579
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.5,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9421701301603262,0.8824200582978942
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.5,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9360282186912285,0.8827746720227896
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,4,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6820128404332483,0.5254416170289004
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,4,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6538787159788192,0.5123761223751573
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,4,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5995197269191077,0.4132256337982515
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,4,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.66608120981186,0.47843009622811383
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,4,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6255305927152196,0.45993027429983735
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9340742943831558,0.8615381883558165
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9534060137775308,0.8978704998681247
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9857075023741692,0.9678807482637406
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9636727145499074,0.9181258920335413
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9569687793464845,0.9103545678157896
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6683881242375865,0.5162837543050082
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.7056217456243256,0.5900286198585666
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6390702959846407,0.46183888382943034
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6893724328837847,0.5011531872330264
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,100,0.01,10,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6284726741168074,0.46819621334945594
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9288599072915358,0.8480914243485216
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9377155863094975,0.8794121020279133
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9736359186049588,0.9385738905364834
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9592816411314864,0.9063438489761183
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.5,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9555097387559968,0.9117400050670107
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6659409909918588,0.499639105125561
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.67628069146387,0.5126813636734561
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6129503203290613,0.4339058405264069
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6490481640249443,0.47023881531740774
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.01,10,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5921997777049798,0.4321205257823388
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,1,0.6857142857142857,0.7052552364229273,0.6857142857142857,0.6640182453296447,0.9203437818134191,0.8444040803306134
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,2,0.7596153846153846,0.7724553224553224,0.7596153846153846,0.7413115912113379,0.9479045201826419,0.8850368427489375
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,3,0.875,0.8734511102932155,0.875,0.8638969979533484,0.9812965462088269,0.9544237990002075
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,0.1,,4,0.8173076923076923,0.8153348658478007,0.8173076923076923,0.8069568992328425,0.9572387164492427,0.9147116761635042
