tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6952380952380952,0.7273202614379085,0.6952380952380952,0.6734693877551021,0.9387712180721388,0.8733516045081388
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,2,0.7596153846153846,0.7793177776276986,0.7596153846153846,0.7423992673992673,0.9496823905750635,0.886055357704405
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,3,0.8557692307692307,0.8566203100101405,0.8557692307692307,0.842895506344655,0.9847228470035488,0.964097445190726
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,4,0.8173076923076923,0.811243044614188,0.8173076923076923,0.8064065295169947,0.9557704803318838,0.9150157153647503
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,5,0.7692307692307693,0.8085407239819005,0.7692307692307693,0.753962939894114,0.9582131598768017,0.926807212663956
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,1,0.4857142857142857,0.6916546416546416,0.4857142857142857,0.3622428554842348,0.644414816913938,0.498366435039526
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,2,0.47115384615384615,0.5159313725490196,0.47115384615384615,0.3208430132507314,0.6686873932358969,0.5471031221948999
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,3,0.46153846153846156,0.31881598793363497,0.46153846153846156,0.30279814145585954,0.6793832820277608,0.5077095411211142
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,4,0.46153846153846156,0.537557121096725,0.46153846153846156,0.3170469507969508,0.6929342744745223,0.5075355759196871
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,5,0.4519230769230769,0.4750294348508634,0.4519230769230769,0.3220655270655271,0.635207998342608,0.4874041356000097
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,1,0.7142857142857143,0.7446778711484594,0.7142857142857143,0.6946464705496431,0.9368162144555333,0.8728378048906568
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,2,0.7692307692307693,0.7813962974242952,0.7692307692307693,0.7538408706677936,0.9652294491045782,0.9133528951973481
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,3,0.8942307692307693,0.8857559107559106,0.8942307692307693,0.881580429374547,0.99247763282851,0.980609619815562
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,4,0.8365384615384616,0.83186331212647,0.8365384615384616,0.8272604799047106,0.9641350527315441,0.9301978280156361
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,5,0.7788461538461539,0.8058469308469308,0.7788461538461539,0.7627477080455504,0.9732286587625367,0.949817218237324
