tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6857142857142857,0.7376610540435595,0.6857142857142857,0.6591778591778591,0.9315183667472389,0.864825347699227
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,2,0.7596153846153846,0.7666910907719731,0.7596153846153846,0.7389713729655867,0.9194384171422355,0.8241408527993077
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,3,0.8461538461538461,0.8591466776950648,0.8461538461538461,0.8321066461453969,0.9825298645474085,0.9590632597690026
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,4,0.75,0.7735276442307693,0.75,0.7317955780678079,0.9550619783075924,0.9150567764009067
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,5,0.7403846153846154,0.796172965394175,0.7403846153846154,0.7159879621418083,0.9613384784000915,0.9233077665604851
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,1,0.5047619047619047,0.5214273779687314,0.5047619047619047,0.39328172780472026,0.796396144513927,0.6374132692613758
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,2,0.5096153846153846,0.6763822115384616,0.5096153846153846,0.3938134533459467,0.7823302285376589,0.604208514051972
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,3,0.5096153846153846,0.659046310832025,0.5096153846153846,0.393882503192848,0.7597225162369642,0.5998657573202285
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,4,0.5,0.516025641025641,0.5,0.3909028391787013,0.7292256166224174,0.5336481290556356
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.01,4,5.0,,5,0.47115384615384615,0.4955062120010574,0.47115384615384615,0.3547282489590182,0.7283160745650937,0.5434299829637413
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.01,10,0.1,,1,0.7142857142857143,0.7337379396202927,0.7142857142857143,0.693645262983242,0.93920249113862,0.8765145535314421
