tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,0.1,1,0.01,0,1,0.34197886647454373,0.4584082923068784,0.34197886647454373,0.3323262586646362,0.6814177573995517,0.45381357099469244
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,0.1,1,0.01,0,2,0.33621517771373677,0.46652812880622085,0.33621517771373677,0.32317932758945234,0.6970275365735054,0.474725743151803
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,0.1,1,0.01,0,3,0.3242074927953891,0.43382025867190926,0.3242074927953891,0.30769898073310437,0.6731147781588283,0.4507422303715207
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,0.1,1,0.01,0,4,0.3472622478386167,0.4534227044100749,0.3472622478386167,0.33589324907955326,0.6847766995631243,0.4585337394836212
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,balanced,0.1,1,0.01,0,5,0.34166266218164343,0.4597079400992773,0.34166266218164343,0.3315287393247932,0.6767105617046189,0.4480579580722226
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,0.1,1,0.01,3,1,0.3410182516810759,0.45699814882169304,0.3410182516810759,0.3322417729440835,0.6810262927231218,0.4538207112590175
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,0.1,1,0.01,3,2,0.33429394812680113,0.4677223208588928,0.33429394812680113,0.321583831157992,0.6967396464294227,0.4747221052876446
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,0.1,1,0.01,3,3,0.3222862632084534,0.42702728346451707,0.3222862632084534,0.3065941270057467,0.6731198916818174,0.4505571887727951
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,0.1,1,0.01,3,4,0.3482228626320845,0.45745600679914905,0.3482228626320845,0.33625201156440543,0.6842217079917193,0.45922237520202125
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,balanced,0.1,1,0.01,3,5,0.3426237385872177,0.46077770752821484,0.3426237385872177,0.33307323594772065,0.6766845209112068,0.44812742784272563
C=0.1 | class_weight=balanced | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,balanced,0.1,1,0.5,0,1,0.356388088376561,0.487217888057285,0.356388088376561,0.3360685163065001,0.6806704102988899,0.4534277948725988
