tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,1,0.34197886647454373,0.4691313879553624,0.34197886647454373,0.3327558057666943,0.6798759946460252,0.4510037757551761
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,2,0.3318924111431316,0.4671662643964551,0.3318924111431316,0.31083082024614694,0.6957619612013538,0.4721188908679485
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,3,0.3256484149855908,0.44224889172976956,0.3256484149855908,0.30782899185976303,0.6713077802910958,0.4460410126169407
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,4,0.34390009606147937,0.45409909322718645,0.34390009606147937,0.3285984535909013,0.6827090655490331,0.4555572663383489
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,5,0.33781835655934644,0.4652128414939622,0.33781835655934644,0.3273204363278482,0.6746746900834566,0.4451054569141998
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,balanced,ovr,0.1,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.4451306171638742,0.3030905019968695
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,balanced,ovr,0.1,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.3976917598553213,0.28693583790746857
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,balanced,ovr,0.1,0.01,3,3,0.2223823246878002,0.04945389833355019,0.2223823246878002,0.0809139617528106,0.3932395357121934,0.2691645469659216
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,balanced,ovr,0.1,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5438062538088116,0.376285984653626
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,balanced,ovr,0.1,0.01,3,5,0.2542047092743873,0.07779660570699058,0.2542047092743873,0.11912112486696641,0.5208554270382948,0.3886475802137271
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,balanced,ovr,0.1,0.5,0,1,0.11527377521613832,0.21409162501435722,0.11527377521613832,0.12337666616280028,0.6451459157533899,0.4419303180865312
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,balanced,ovr,0.1,0.5,0,2,0.12536023054755044,0.23539817046550432,0.12536023054755044,0.13878626826546772,0.6482162216044058,0.439755560661646
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,balanced,ovr,0.1,0.5,0,3,0.12295869356388088,0.23241634881520595,0.12295869356388088,0.1317281265872625,0.6458802839267762,0.44543477638837137
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,balanced,ovr,0.1,0.5,0,4,0.14745437079731027,0.2538930790109987,0.14745437079731027,0.16148637829850024,0.6491972512899699,0.4485729887637556
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,balanced,ovr,0.1,0.5,0,5,0.11244593945218645,0.26683249047432095,0.11244593945218645,0.13437351461402489,0.6477484083140403,0.43507070613954657
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,balanced,ovr,0.1,0.5,3,1,0.07012487992315082,0.228580490582824,0.07012487992315082,0.08334592762676661,0.5856487443127666,0.39048489954981214
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,balanced,ovr,0.1,0.5,3,2,0.06484149855907781,0.23487681662323234,0.06484149855907781,0.07308422961673758,0.5708570434273866,0.393290429635423
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,balanced,ovr,0.1,0.5,3,3,0.06484149855907781,0.25078290229036493,0.06484149855907781,0.0731456654685372,0.5732984245528694,0.3963503895412945
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,balanced,ovr,0.1,0.5,3,4,0.0686839577329491,0.2422787906942471,0.0686839577329491,0.08555178273357139,0.58006948896416,0.3696737122926521
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,balanced,ovr,0.1,0.5,3,5,0.07015857760691975,0.2419166776939718,0.07015857760691975,0.0826979826278584,0.5814055375319743,0.37318723389437064
