tag,n_estimators,learning_rate,max_depth,rate_drop,skip_drop,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9286629322696016,0.8438220267707557
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9279164524308132,0.842237567642093
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.92127034333627,0.8269330018458296
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9237604357183475,0.836498939656508
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.9160745546011202,0.8215456853503871
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.01,4,0.1,0.5,1,0.622478386167147,0.6919798649176941,0.622478386167147,0.5779738690852891,0.943729019303071,0.8715174877281496
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.01,4,0.1,0.5,2,0.5893371757925072,0.7239779106752813,0.5893371757925072,0.5327620698156785,0.9401174429048286,0.8644371511848924
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.01,4,0.1,0.5,3,0.5936599423631124,0.6868588947487274,0.5936599423631124,0.5360714013544547,0.9410888067382318,0.8692870741061474
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.01,4,0.1,0.5,4,0.6364073006724303,0.7416601929003092,0.6364073006724303,0.5936439310043964,0.9419566141488726,0.8645815765387936
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.01,4,0.1,0.5,5,0.6189332051898125,0.722971960807973,0.6189332051898125,0.5743357384586977,0.9345552829812603,0.8538851231221634
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.01,4,0.5,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9258945036910917,0.8360705729524474
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.01,4,0.5,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9195485587178015,0.8303409547617376
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.01,4,0.5,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.9196334158837207,0.8242413678899959
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.01,4,0.5,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9208856627480025,0.8324995444609392
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.01,4,0.5,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.9136800289602633,0.8164148613960673
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.01,4,0.5,0.5,1,0.6051873198847262,0.7340565057452904,0.6051873198847262,0.5542847089188713,0.9442449339734196,0.8724604130853695
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.01,4,0.5,0.5,2,0.5859750240153698,0.7240163678780394,0.5859750240153698,0.5271001026300468,0.9397706378596287,0.8637524315363821
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.01,4,0.5,0.5,3,0.553314121037464,0.6280389549575295,0.553314121037464,0.46889304666158715,0.9408597232453538,0.8683524691891453
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.01,4,0.5,0.5,4,0.6090297790585975,0.71203771399696,0.6090297790585975,0.554943585769524,0.9415124761167182,0.8633662652521465
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.01,4,0.5,0.5,5,0.6064392119173474,0.7251918593558083,0.6064392119173474,0.5560759695528015,0.9341051304497013,0.8530723178142311
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.01,10,0.1,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9809842667558413,0.9565236093344328
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.01,10,0.1,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9815129778143575,0.9572646898301248
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.01,10,0.1,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.9809899119773035,0.954824270832055
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.01,10,0.1,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9816645912153206,0.9585264655581454
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.01,10,0.1,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.9761123932240848,0.9446851693238404
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.01,10,0.1,0.5,1,0.8707973102785783,0.8763187108264779,0.8707973102785783,0.8685147265978195,0.9843321463657334,0.962748677568253
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.01,10,0.1,0.5,2,0.8683957732949087,0.8732381129254191,0.8683957732949087,0.8655651813250462,0.9848521984872336,0.9636971790010942
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.01,10,0.1,0.5,3,0.866954851104707,0.8742409960733604,0.866954851104707,0.8638694418190676,0.9834964816999553,0.9590794932518395
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.01,10,0.1,0.5,4,0.8717579250720461,0.8782591713587591,0.8717579250720461,0.8688350957016233,0.9838204602545652,0.9628706870634773
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.01,10,0.1,0.5,5,0.8592023065833734,0.864673871251861,0.8592023065833734,0.8559701768801702,0.980522953997382,0.9531560255215396
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.01,10,0.5,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9793807709245167,0.9525465763567126
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.01,10,0.5,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9807484759010747,0.9554072767438603
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.01,10,0.5,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.979939797952067,0.9526654725885658
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.01,10,0.5,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9803151833352082,0.9559747241409343
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.01,10,0.5,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.9751616827073294,0.9430277099669215
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.01,10,0.5,0.5,1,0.8611911623439001,0.8690256942099149,0.8611911623439001,0.8581351629597146,0.9840554352405598,0.9613010116956455
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.01,10,0.5,0.5,2,0.8635926993275697,0.870249524462841,0.8635926993275697,0.8603434180488106,0.9847199713043416,0.9634650091853966
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.01,10,0.5,0.5,3,0.8626320845341018,0.8725188021292283,0.8626320845341018,0.8587712034815855,0.9833691669035299,0.9589087668363557
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.01,10,0.5,0.5,4,0.8621517771373679,0.8710899798307519,0.8621517771373679,0.8580628543576703,0.9836546118451469,0.9625225051630522
n_estimators=100 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.01,10,0.5,0.5,5,0.8481499279192696,0.8573185443422318,0.8481499279192696,0.8437377723296741,0.980316886808057,0.9527237280613388
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.1,4,0.1,0.1,1,0.8016330451488953,0.8042201915094392,0.8016330451488953,0.7959731748411041,0.9579502254062651,0.8971348389612815
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.1,4,0.1,0.1,2,0.8126801152737753,0.8173838574898754,0.8126801152737753,0.8081406644840304,0.9561186483862213,0.8966839447523396
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.1,4,0.1,0.1,3,0.8174831892411143,0.8230613370989753,0.8174831892411143,0.8122418724946098,0.9564374609444523,0.900666313868415
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.1,4,0.1,0.1,4,0.8121998078770413,0.8151121168338604,0.8121998078770413,0.8081389510665654,0.9575412293885857,0.900847751694063
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.1,4,0.1,0.1,5,0.798654493032196,0.8013417981530957,0.798654493032196,0.7948720556548611,0.9477648100131065,0.8795708368726898
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.1,4,0.1,0.5,1,0.8544668587896254,0.854775913908648,0.8544668587896254,0.8542426780137876,0.9761312149367143,0.9405280248854249
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.1,4,0.1,0.5,2,0.8631123919308358,0.8635556881480031,0.8631123919308358,0.8626017775102987,0.9771227969892395,0.9440350981037352
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.1,4,0.1,0.5,3,0.866954851104707,0.8666302840169882,0.866954851104707,0.8666494081575137,0.9764634750704966,0.9426572526821088
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.1,4,0.1,0.5,4,0.8679154658981748,0.8682843632717312,0.8679154658981748,0.8679245885449287,0.9776834456902319,0.945428717293092
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,100,0.1,4,0.1,0.5,5,0.8433445458913984,0.8455748452708511,0.8433445458913984,0.8437399406780883,0.969017343994178,0.9255064425015636
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.1,4,0.5,0.1,1,0.7353506243996157,0.758196009496842,0.7353506243996157,0.721795156182656,0.9484409386439049,0.8794606609627665
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.1,4,0.5,0.1,2,0.7478386167146974,0.7685173978336216,0.7478386167146974,0.7367690384196036,0.9470677664321739,0.8783365375701327
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.1,4,0.5,0.1,3,0.7411143131604226,0.7638103152346457,0.7411143131604226,0.7298070246523805,0.9453881869909958,0.8774223383941768
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.1,4,0.5,0.1,4,0.7406340057636888,0.769207707232535,0.7406340057636888,0.7279531008220392,0.9492942966426745,0.8828081985934273
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,100,0.1,4,0.5,0.1,5,0.7496395963479097,0.7626558937876936,0.7496395963479097,0.7406063889247319,0.9405928701435301,0.8662680939572992
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.1,4,0.5,0.5,1,0.851104707012488,0.851129362208563,0.851104707012488,0.8507908861006493,0.9746828513852507,0.9369295046081572
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.1,4,0.5,0.5,2,0.8602305475504323,0.8604618790234029,0.8602305475504323,0.8597130187437807,0.9760736293650372,0.9415604499379804
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.1,4,0.5,0.5,3,0.8607108549471661,0.8604418829334786,0.8607108549471661,0.8603683349524079,0.9755504073008011,0.9405470586174602
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.1,4,0.5,0.5,4,0.8602305475504323,0.8607441822743666,0.8602305475504323,0.8602777283647756,0.9756719568955026,0.9415143382781976
n_estimators=100 | learning_rate=0.1 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,100,0.1,4,0.5,0.5,5,0.8380586256607401,0.8401301090522824,0.8380586256607401,0.8383533914580513,0.9672477467917644,0.9225906549157972
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.1,10,0.1,0.1,1,0.9082612872238233,0.9081933239257595,0.9082612872238233,0.9080575427947972,0.9879582330939454,0.9699570791803467
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.1,10,0.1,0.1,2,0.9048991354466859,0.9046335281998128,0.9048991354466859,0.904510233906698,0.9885284531553612,0.9706315998305081
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.1,10,0.1,0.1,3,0.9159462055715658,0.9158423645529294,0.9159462055715658,0.9158540065123965,0.9879696614346041,0.968542418731665
