tag,n_estimators,learning_rate,max_depth,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,1,0.7118155619596542,0.7420711543193073,0.7118155619596542,0.6966290901111808,0.9439297788974724,0.8720828587903147
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,2,0.7175792507204611,0.747665706002925,0.7175792507204611,0.7021714828863279,0.9434984983450019,0.8721380905032018
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,3,0.7094140249759846,0.7388528287838312,0.7094140249759846,0.6942012618688959,0.9418193731827132,0.8741810633465612
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,4,0.7214217098943324,0.7516846749201392,0.7214217098943324,0.7077799392472967,0.9443840632162934,0.8744560293782131
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,5,0.7371456030754445,0.7565344037569055,0.7371456030754445,0.7252225445998289,0.9380047751484273,0.8629066432279122
n_estimators=100 | learning_rate=0.01 | max_depth=10,100,0.01,10,1,0.8948126801152738,0.895066428604978,0.8948126801152738,0.8939858956707822,0.9862106376396952,0.9669914959840683
n_estimators=100 | learning_rate=0.01 | max_depth=10,100,0.01,10,2,0.8866474543707973,0.8865684608344424,0.8866474543707973,0.8854106032583591,0.9860912669069231,0.966207280205888
n_estimators=100 | learning_rate=0.01 | max_depth=10,100,0.01,10,3,0.8967339097022095,0.8965808658014041,0.8967339097022095,0.8956691783403984,0.985256344603031,0.962648437177891
n_estimators=100 | learning_rate=0.01 | max_depth=10,100,0.01,10,4,0.8996157540826129,0.8999328266837393,0.8996157540826129,0.8986015653200224,0.9845706356181111,0.964746173636628
n_estimators=100 | learning_rate=0.01 | max_depth=10,100,0.01,10,5,0.8760211436809227,0.8766303232705177,0.8760211436809227,0.8748816638269398,0.9816699400506537,0.9549018594668648
n_estimators=100 | learning_rate=0.1 | max_depth=4,100,0.1,4,1,0.8746397694524496,0.8755645757960218,0.8746397694524496,0.8747727592561544,0.981990844774397,0.9552254655291438
n_estimators=100 | learning_rate=0.1 | max_depth=4,100,0.1,4,2,0.8837656099903939,0.8844627077034621,0.8837656099903939,0.88387686172321,0.9824939749545624,0.9558156897205327
n_estimators=100 | learning_rate=0.1 | max_depth=4,100,0.1,4,3,0.888088376560999,0.888226652893962,0.888088376560999,0.8880706658386495,0.9826178507182367,0.9562155078595609
n_estimators=100 | learning_rate=0.1 | max_depth=4,100,0.1,4,4,0.888088376560999,0.8897715674616455,0.888088376560999,0.888590631292938,0.9832097583890499,0.9574472487792199
n_estimators=100 | learning_rate=0.1 | max_depth=4,100,0.1,4,5,0.8563190773666507,0.8578691646042949,0.8563190773666507,0.8567051507986074,0.9770150066460016,0.9424474506273456
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,1,0.9197886647454371,0.9208224628511634,0.9197886647454371,0.9199469412729411,0.9923095801418441,0.9794271378129498
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,2,0.9159462055715658,0.9167323891476313,0.9159462055715658,0.916166563092151,0.9918479622220078,0.9768287122472044
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,3,0.9173871277617676,0.9179011965692422,0.9173871277617676,0.9176045960082099,0.9914169186827931,0.9763840719187182
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,4,0.9154658981748319,0.9159790987906222,0.9154658981748319,0.9155632546492147,0.9914812955135766,0.9764467479962978
n_estimators=100 | learning_rate=0.1 | max_depth=10,100,0.1,10,5,0.8995675156174916,0.8999504262037612,0.8995675156174916,0.8996039496416497,0.9887725297649091,0.9687661390015428
n_estimators=500 | learning_rate=0.01 | max_depth=4,500,0.01,4,1,0.8439000960614793,0.8433783512675093,0.8439000960614793,0.8431868940056224,0.9715758455425394,0.9283225396537474
n_estimators=500 | learning_rate=0.01 | max_depth=4,500,0.01,4,2,0.8491834774255523,0.8497247319244746,0.8491834774255523,0.8478557281190992,0.9734114624192195,0.9353066574627159
n_estimators=500 | learning_rate=0.01 | max_depth=4,500,0.01,4,3,0.856388088376561,0.8565468017541026,0.856388088376561,0.8557941211800315,0.9724163830064376,0.9339964230144363
n_estimators=500 | learning_rate=0.01 | max_depth=4,500,0.01,4,4,0.8544668587896254,0.8546123728211629,0.8544668587896254,0.8539157258099169,0.9732787044579948,0.9361581483896341
n_estimators=500 | learning_rate=0.01 | max_depth=4,500,0.01,4,5,0.8274867851994233,0.8295568161313592,0.8274867851994233,0.8272286267409731,0.9640060602654099,0.9149707815837226
n_estimators=500 | learning_rate=0.01 | max_depth=10,500,0.01,10,1,0.920268972142171,0.9209072665904268,0.920268972142171,0.9203964461555736,0.9915709548409121,0.9776077704154861
