tag,C,class_weight,decision_function_shape,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.6808369272678522,0.4543676726007687
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,2,0.3659942363112392,0.5378476493739687,0.3659942363112392,0.3505966518902023,0.6909836283417725,0.4736532834533403
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,3,0.37079731027857826,0.5324595988120762,0.37079731027857826,0.3571154165887164,0.6683547043945002,0.4485944445583917
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,4,0.36983669548511044,0.5071537506070195,0.36983669548511044,0.34817836770689464,0.6809611846982957,0.46013460873734696
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,5,0.35752042287361846,0.49631476796663154,0.35752042287361846,0.3309284238314737,0.6698428518313988,0.4472015407987976
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,1,0.35110470701248797,0.5074430939209066,0.35110470701248797,0.32847516567959434,0.6832193039981557,0.45539693212498583
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,2,0.3659942363112392,0.5815266788087264,0.3659942363112392,0.3373326836505842,0.6933586461215715,0.4736196168408363
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,3,0.3366954851104707,0.48098075986328254,0.3366954851104707,0.32740152194071265,0.6715750526157133,0.44852867505532035
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,4,0.37079731027857826,0.5089277811039706,0.37079731027857826,0.3551978815287312,0.6906283713915663,0.4585282403740458
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,5,0.3623258049014897,0.5235883241403402,0.3623258049014897,0.3384367226075667,0.674950550954125,0.44893403354329714
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.7244572151137619,0.45422584321275783
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,2,0.3659942363112392,0.5378476493739687,0.3659942363112392,0.3505966518902023,0.7326480230251122,0.47381011799928396
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,3,0.37079731027857826,0.5324595988120762,0.37079731027857826,0.3571154165887164,0.7163195425928153,0.4486456711760071
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,4,0.36983669548511044,0.5071537506070195,0.36983669548511044,0.34817836770689464,0.7280946034365074,0.4602705017630943
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,5,0.35752042287361846,0.49631476796663154,0.35752042287361846,0.3309284238314737,0.7184861197439179,0.44716797045616846
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,1,0.35110470701248797,0.5074430939209066,0.35110470701248797,0.32847516567959434,0.7278618322857435,0.45646105234619117
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,2,0.3659942363112392,0.5815266788087264,0.3659942363112392,0.3373326836505842,0.7361187705904824,0.47353927833967246
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,3,0.3366954851104707,0.48098075986328254,0.3366954851104707,0.32740152194071265,0.7205642140108963,0.4476046088786381
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,4,0.37079731027857826,0.5089277811039706,0.37079731027857826,0.3551978815287312,0.735287532779494,0.4578448940995397
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,5,0.3623258049014897,0.5235883241403402,0.3623258049014897,0.3384367226075667,0.7236711087836225,0.44876620148882174
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.6863357320768296,0.46252414504108874
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,2,0.45004803073967337,0.2852688959032029,0.45004803073967337,0.33281699240622603,0.6842604372622062,0.42946429766820887
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,3,0.4452449567723343,0.27990523782551296,0.4452449567723343,0.3286434257131613,0.6765998544523745,0.4409038825644797
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.6881270414486187,0.44463196230886076
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,5,0.4430562229697261,0.2811623866481406,0.4430562229697261,0.3281835232381815,0.6409174829149004,0.3879664339901734
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.7002204201994705,0.47684136108491426
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6813777280532387,0.46288845892567526
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,3,0.44668587896253603,0.28078994681691677,0.44668587896253603,0.32960017440522177,0.6692321995414645,0.44784932148782336
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,4,0.4620557156580211,0.3004004613278687,0.4620557156580211,0.33941146794380056,0.6024250343433534,0.35449644009671344
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.646923555840652,0.40905048473950995
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
