tag,C,class_weight,decision_function_shape,tol,gamma,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,1,0.4015369836695485,0.5111745597601757,0.4015369836695485,0.38886513984370186,0.7406108857704483,0.5152063834654118
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,2,0.4111431316042267,0.549116953310292,0.4111431316042267,0.39687292592918877,0.7556089668847813,0.5459768788390289
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,3,0.4140249759846302,0.5307115607032268,0.4140249759846302,0.396083088388487,0.7320629187179374,0.517002164268482
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,4,0.40874159462055715,0.5396121693984076,0.40874159462055715,0.39189362164550684,0.7380753148678787,0.5270286811517256
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,5,0.38395002402691014,0.5123604048785709,0.38395002402691014,0.3624556958328534,0.7280753872207314,0.5073266949144168
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,balanced,ovr,0.1,0.1,1,0.696445725264169,0.7583232389867658,0.696445725264169,0.6995083166055248,0.9195192585995576,0.8291040825772079
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,balanced,ovr,0.1,0.1,2,0.7031700288184438,0.766235986997347,0.7031700288184438,0.7041374136721178,0.925615481268585,0.8417330087973713
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,balanced,ovr,0.1,0.1,3,0.7089337175792507,0.7663617579081103,0.7089337175792507,0.7093658174856186,0.9295957233340465,0.8533661432536991
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,balanced,ovr,0.1,0.1,4,0.696926032660903,0.7682910307799394,0.696926032660903,0.6981117358464601,0.9242605050463185,0.8323656475856889
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,balanced,ovr,0.1,0.1,5,0.683805862566074,0.7543910629453394,0.683805862566074,0.6865461172480888,0.9107020951982437,0.8079017058335547
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,balanced,ovr,0.1,1.0,1,0.8515850144092219,0.8719617144964279,0.8515850144092219,0.8539911351316685,0.9762543217493262,0.9365147749907142
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,balanced,ovr,0.1,1.0,2,0.8587896253602305,0.8796627351765407,0.8587896253602305,0.8616876042096109,0.9770967041268575,0.9344911967049396
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,balanced,ovr,0.1,1.0,3,0.8650336215177714,0.883196526296571,0.8650336215177714,0.8673512255970928,0.9808146415031037,0.947268560591539
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,balanced,ovr,0.1,1.0,4,0.8592699327569645,0.8783919584992852,0.8592699327569645,0.8619669628629889,0.9801584402837997,0.9438026578415285
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,balanced,ovr,0.1,1.0,5,0.8553580009610764,0.8753056374254735,0.8553580009610764,0.8578808653843957,0.9750708492919105,0.9289565772824527
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,balanced,ovr,1.0,0.01,1,0.3808837656099904,0.5032580797642237,0.3808837656099904,0.3643652606674229,0.7377125030124236,0.5165670657917785
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,balanced,ovr,1.0,0.01,2,0.41450528338136405,0.5566772771738729,0.41450528338136405,0.3980297862860191,0.7541763389912944,0.5510779971664385
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,balanced,ovr,1.0,0.01,3,0.4058597502401537,0.5388138682764119,0.4058597502401537,0.39970247978283713,0.7291294748419409,0.5209992191710071
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,balanced,ovr,1.0,0.01,4,0.3756003842459174,0.5185682905347732,0.3756003842459174,0.35744584906306476,0.7332130901214764,0.5248883845780062
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,balanced,ovr,1.0,0.01,5,0.35271504084574723,0.5047821763524646,0.35271504084574723,0.32501934642867014,0.7292030014341566,0.5103369366360662
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,balanced,ovr,1.0,0.1,1,0.6657060518731989,0.7601707593559318,0.6657060518731989,0.669608346706119,0.9044103552327345,0.8038193716311754
