tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,1,0.34197886647454373,0.4691313879553624,0.34197886647454373,0.3327558057666943,0.6796189502493588,0.4510089547124656
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,2,0.3318924111431316,0.4671662643964551,0.3318924111431316,0.31083082024614694,0.6957812591878262,0.4722350558809722
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,3,0.3256484149855908,0.44224889172976956,0.3256484149855908,0.30782899185976303,0.6713569099555597,0.4464770942489057
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,4,0.34390009606147937,0.45409909322718645,0.34390009606147937,0.3285984535909013,0.6829424374373659,0.45546142638266335
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,0.1,0.01,0,5,0.33781835655934644,0.4652128414939622,0.33781835655934644,0.3273204363278482,0.674696294473587,0.4452377010304615
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,0.1,0.01,1,1,0.2929875120076849,0.4143814631202724,0.2929875120076849,0.2787237295082283,0.6593874826803032,0.43166489150294235
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,0.1,0.01,1,2,0.2430355427473583,0.35711840830540925,0.2430355427473583,0.20224553880321267,0.6769974756361704,0.45561290072964694
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,0.1,0.01,1,3,0.26032660902977905,0.3388907124036247,0.26032660902977905,0.23166528602359732,0.6541950455512198,0.4302721754705341
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,0.1,0.01,1,4,0.30739673390970224,0.42218233168476826,0.30739673390970224,0.2875738400439259,0.6649237166308918,0.4357420122124326
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,0.1,0.01,1,5,0.3046612205670351,0.4128716177039186,0.3046612205670351,0.29171653829897953,0.6570819729893288,0.42765396306755443
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,0.1,0.01,5,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.3302644089513493,0.24557357262193055
