tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,1,0.7670509125840538,0.7644827978158354,0.7670509125840538,0.7638926925442302,0.9316078465876417,0.8380324188861117
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,2,0.7512007684918348,0.7497856717985228,0.7512007684918348,0.7478413145811273,0.9284986574250852,0.8381032946619136
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,3,0.7521613832853026,0.7490108228649602,0.7521613832853026,0.7464624813014439,0.9264297313723729,0.8284216001064374
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,4,0.7579250720461095,0.7548259277203717,0.7579250720461095,0.7542239729499207,0.9302066533199642,0.8309573535357
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,5,0.7419509851033157,0.7369025823838684,0.7419509851033157,0.7374164276584992,0.9207268833808883,0.8108523223245883
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.1,10,0.5,1.0,1,0.9217098943323727,0.9223392370823545,0.9217098943323727,0.9218397204551348,0.9925929678766766,0.9800189750615422
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.1,10,0.5,1.0,2,0.9250720461095101,0.9261661036331008,0.9250720461095101,0.9253879839914995,0.9925488629384712,0.9790805728343971
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.1,10,0.5,1.0,3,0.9226705091258406,0.9230742243775643,0.9226705091258406,0.9228339989337485,0.9918332922688878,0.9770870208006944
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.1,10,0.5,1.0,4,0.9183477425552353,0.9188789550081595,0.9183477425552353,0.9184968662085852,0.9916783405741723,0.9765176588555186
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,100,0.1,10,0.5,1.0,5,0.9058145122537242,0.9060728091004036,0.9058145122537242,0.9058365138567841,0.9891770190989326,0.9692635041547784
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.1,10,1.0,0.5,1,0.7617675312199808,0.7586851236386708,0.7617675312199808,0.7583900130501722,0.9305278646012557,0.8354077361027575
