model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QCAT-full,QCAT-full_R1_depth4_pca3,"{'model__depth': 4, 'pca__n_components': 3}",0.6964742642662946,0.051534349861927106,0.6199575466326886,0.06296468211494116,0.6712028610829976,0.06480703746762753,0.6281084703603068,0.06208331863745738,0.5775223698821985,0.06650309024023542,0.9075542248544037,0.02515008168486708,0.6761075509544816,0.0701144153686373,0.6976590687519626,0.9203582275956496,0.9033648648522297,0.223883963329355,0.27525639449192285
QCAT-full,QCAT-full_R1_depth4_pca5,"{'model__depth': 4, 'pca__n_components': 5}",0.8325247553329044,0.04243917647826856,0.774968678294931,0.06041676951359835,0.7948521838269359,0.061821607972288556,0.7742314806385036,0.06347012958490225,0.7660677337580404,0.05757167305145101,0.9581871593521536,0.022924585836813966,0.8329758536316694,0.06512782918136374,0.8300804003830645,0.9879918440298294,0.9838214729627339,0.15546708869692505,0.20958999232423037
QCAT-full,QCAT-full_R1_depth4_pca8,"{'model__depth': 4, 'pca__n_components': 8}",0.8615974572432012,0.0398135756950448,0.8162779167007453,0.05824815636673868,0.8420935385462555,0.04673295610567906,0.8193564270042503,0.051905995937020444,0.8045609208896112,0.05478603719439552,0.9731836341041078,0.011007053307891293,0.8918714765747235,0.042386894371368174,0.8711694546745932,0.9941629727546208,0.992783146502779,0.1325655155114196,0.17342671949852873
QCAT-full,QCAT-full_R1_depth4_pca12,"{'model__depth': 4, 'pca__n_components': 12}",0.8746396313152598,0.04720476960836457,0.8273104445406154,0.07043710824913245,0.8621510022835326,0.050570582191280265,0.8329343785964761,0.06377023453637742,0.8239266030285549,0.06396901132247175,0.9762205520826166,0.01547869873462703,0.9065111726663811,0.05927963928675905,0.8838029509257116,0.9929869051065813,0.9914284876585411,0.11834727379132148,0.15849410906206496
QCAT-full,QCAT-full_R1_depth6_pca3,"{'model__depth': 6, 'pca__n_components': 3}",0.7022302042541313,0.05441819916183563,0.6338510755223884,0.06294905996619586,0.6746073939264444,0.06339748021733556,0.6383344212789065,0.06309587579563115,0.5846717593702907,0.07389244663863834,0.9154023044039714,0.022411007511913654,0.6748613477893904,0.04431076826454712,0.7018438829178142,0.9422372129990692,0.9346309670163627,0.24000700874493786,0.29629654573745623
QCAT-full,QCAT-full_R1_depth6_pca5,"{'model__depth': 6, 'pca__n_components': 5}",0.835394455084594,0.03674927671361285,0.8038582092103521,0.05297943337596012,0.8041092637522789,0.0407758933827939,0.7914463853465663,0.05098357839754775,0.7679553454847741,0.048818903106903254,0.9603184275091493,0.01953641366556413,0.8436525396747745,0.05308770567114343,0.8396921992545758,0.9951724157557151,0.9930206058336954,0.15977796067112116,0.20157422048712914
QCAT-full,QCAT-full_R1_depth6_pca8,"{'model__depth': 6, 'pca__n_components': 8}",0.8574197364317557,0.03917718321271949,0.8263559109973695,0.04838833596350377,0.8196011651124777,0.0383306977795521,0.8148138211207028,0.043011610389907015,0.7977385610031887,0.054856226193730144,0.9781187181684737,0.010319347352548948,0.8954011946341615,0.03357405362443566,0.8696947654188195,0.9985591074046706,0.9981749626894153,0.14113937097291485,0.18336114156871253
QCAT-full,QCAT-full_R1_depth6_pca12,"{'model__depth': 6, 'pca__n_components': 12}",0.8772521805027702,0.04306814688083542,0.8345607950664713,0.06641050355519183,0.8494051806605016,0.05412512966436311,0.835087014101274,0.06268171025840943,0.8258972665307958,0.0600408589526769,0.9825277938611382,0.010192809709415605,0.9180142870887698,0.040166439086420015,0.8886833114851472,0.9981511974203927,0.9971787579374185,0.1208990169176225,0.16209174383614455
QCAT-linear,QCAT-linear_R1_depth4_pca3,"{'model__depth': 4, 'pca__n_components': 3}",0.6955964692920504,0.05574753953607792,0.621681676759539,0.06858460681413399,0.6762259865930161,0.058588898329391716,0.6326753081370319,0.061373415657826905,0.576129677994062,0.0738037254840464,0.9139376029439648,0.021895208806755898,0.6837811595597525,0.06633694440634386,0.7015071022312718,0.9184116087726834,0.8961394205086861,0.22281513948063292,0.26346411237165424
QCAT-linear,QCAT-linear_R1_depth4_pca5,"{'model__depth': 4, 'pca__n_components': 5}",0.826659722715806,0.03683416241220183,0.7901070848434755,0.05732222583477549,0.8099245769881082,0.04712860398332659,0.78488637035462,0.05704186575810251,0.7557541258073147,0.0486209494981018,0.9484103626054242,0.024255216320313525,0.8262310246204597,0.051113673377647315,0.8296648192929124,0.9875109556812355,0.9814835273793909,0.16085123296542947,0.19659715702477087
QCAT-linear,QCAT-linear_R1_depth4_pca8,"{'model__depth': 4, 'pca__n_components': 8}",0.8467374358947248,0.03564675647438396,0.7843617040665303,0.038020564005247434,0.8140971341724581,0.03206035051414188,0.7924553707381594,0.033789265799136645,0.7836753440400204,0.05048263889797232,0.9711770649075107,0.008410438795151139,0.8720134641445044,0.024158016726719134,0.8521021689675581,0.9933954290634421,0.9919082298373496,0.1466579931687173,0.1994528590991902
QCAT-linear,QCAT-linear_R1_depth4_pca12,"{'model__depth': 4, 'pca__n_components': 12}",0.8539060465810884,0.05222750459624334,0.8261243525248201,0.06427168131653191,0.8365328654759671,0.05954240693067522,0.8111749952344158,0.05986091759594041,0.7931752703963975,0.07271241944300316,0.9725332748208079,0.014471193109498444,0.8948477757074746,0.049920502942199116,0.8675368020466964,0.990922268522651,0.9902434594314549,0.1370162219415626,0.17906846419703903
QCAT-linear,QCAT-linear_R1_depth6_pca3,"{'model__depth': 6, 'pca__n_components': 3}",0.6869453069659818,0.04901139823142774,0.604485305827812,0.05683714284939639,0.6478296237377108,0.05267626071380002,0.6097490741613314,0.054146326833276776,0.5649244304127813,0.06546742415426297,0.9123764052900901,0.018644269677354688,0.6667435509232307,0.03317070671375013,0.6863182800969843,0.9407237793677397,0.9297234101271036,0.2537784724017579,0.3199743359657722
QCAT-linear,QCAT-linear_R1_depth6_pca5,"{'model__depth': 6, 'pca__n_components': 5}",0.8332480122341513,0.03139550784354155,0.7838689530758011,0.07273752382263807,0.7788147228225901,0.06040949244535727,0.7731328893438166,0.0669056715511498,0.7641618421481164,0.044094260340877406,0.9623756353183197,0.015650512790004612,0.8329508635771476,0.06866755310890439,0.8293882246650076,0.9948367285527089,0.9923298556683621,0.16158871631855753,0.21919696632454544
QCAT-linear,QCAT-linear_R1_depth6_pca8,"{'model__depth': 6, 'pca__n_components': 8}",0.8692479730734695,0.03744055552272725,0.8323448033915504,0.04812401366915668,0.8499696970109559,0.03826855377360701,0.8356203538068023,0.042485606010828195,0.813599042902255,0.05297967181186492,0.9761241004975061,0.014479268694807479,0.909022923201636,0.045704932371011066,0.8838142661531886,0.9984150206113878,0.9978787794557421,0.1291670475379183,0.16225842564893977
QCAT-linear,QCAT-linear_R1_depth6_pca12,"{'model__depth': 6, 'pca__n_components': 12}",0.872708354027861,0.03464667886341293,0.8235428054649411,0.04832039812382002,0.8406242045183298,0.02952258364002652,0.8247651736786505,0.04033443439793112,0.8198271682793994,0.04849972376198672,0.9795966583616564,0.00940065226962223,0.9049355766999161,0.03592561703181212,0.8798714448394221,0.9982945312124178,0.9981457686133475,0.1255861771845569,0.17338059493469693
QCAT-circular,QCAT-circular_R1_depth4_pca3,"{'model__depth': 4, 'pca__n_components': 3}",0.7009710030657772,0.054930930637412764,0.6201979628869667,0.0661162569769388,0.6704654728997593,0.06025352980472667,0.628330441576343,0.061709327502118314,0.5845269446394006,0.07349627260580342,0.9142252216330096,0.021036920348711602,0.6814372204784086,0.06144437544785302,0.700677044791484,0.9197090710590136,0.8987341028507039,0.21873806799323636,0.2704036612743609
QCAT-circular,QCAT-circular_R1_depth4_pca5,"{'model__depth': 4, 'pca__n_components': 5}",0.832234713298534,0.050045922381507846,0.792211499505716,0.04485385505454851,0.8219516932324332,0.0518324377145343,0.7970249562814937,0.050275173899750086,0.7638276996809383,0.06855707939526252,0.9548978357289208,0.024095720773538686,0.855853479241768,0.07244859249296437,0.8449307617879104,0.986814116952921,0.9817352059736489,0.15457940365438694,0.18471024969215522
QCAT-circular,QCAT-circular_R1_depth4_pca8,"{'model__depth': 4, 'pca__n_components': 8}",0.8570381473548853,0.05214003479362075,0.798428285287559,0.05717004314550191,0.8387814817284589,0.06612705368328767,0.8067319405262351,0.06269767065237705,0.7977989746147577,0.07240829947120878,0.9729037778549149,0.01634198406440964,0.8950316807490392,0.058954838981782026,0.8668877028608843,0.9935886162719381,0.9920191994494418,0.1365504689170528,0.18528725892320674
QCAT-circular,QCAT-circular_R1_depth4_pca12,"{'model__depth': 4, 'pca__n_components': 12}",0.855240089516999,0.027532186865848157,0.8006351125837814,0.047463018274405744,0.821518857642101,0.03788550915960523,0.8032843416869356,0.044145885942594124,0.795312269884809,0.037832440574939126,0.9706278074160666,0.011092896963495866,0.8719243717096014,0.05489610323184486,0.8576216161129805,0.9915704507806543,0.9893346506413234,0.13633036126365528,0.1860503089543878
