model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QSVC-full,QSVC-full_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.6932801196233341,0.0526672790419191,0.6109979379548081,0.058844422555489606,0.66845700483067,0.053714801984797514,0.6203906912401402,0.05507558663611285,0.577260531850068,0.07015159052314322,0.9037288894920021,0.013675659779725766,0.6582071697812499,0.047362481533589795,0.6890760423154747,0.892087374747488,0.8565463839803054,0.19880725512415387,0.23615569274016512
QSVC-full,QSVC-full_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.8513949411981828,0.036122176583221526,0.8204418658678778,0.04295032953180397,0.7837502256668623,0.050339864922008704,0.787875927301114,0.049483097809391294,0.7898523027193682,0.04902042072389135,0.9648130003129399,0.017418691470908042,0.8608410269944697,0.04354349599373813,0.8478810352184226,0.9904894577823395,0.9850005207581279,0.13909451658415672,0.19712459345701394
QSVC-full,QSVC-full_R1_C1_pca8,"{'model__C': 1, 'pca__n_components': 8}",0.8954272257263911,0.02291655957649369,0.9097039039835902,0.02639937792140886,0.8190418397749237,0.046802805638894454,0.8368532248227162,0.04678084536812834,0.8499815915439811,0.032300762729879674,0.9857526795784924,0.007599967937381751,0.9331508304195623,0.027959070122790863,0.8983316170047564,0.9989192460613108,0.9989897200082893,0.10349202033491967,0.16213649518557316
QSVC-full,QSVC-full_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.905604052168048,0.02678307238907777,0.9202210256356421,0.02823939419935463,0.8297834256506655,0.03526107973280654,0.852990314342037,0.03250652948106601,0.8645757648955945,0.03798681981753409,0.9901417430222075,0.005310623981002133,0.9540397839092185,0.023410276583338437,0.9131059935663508,0.9998799114282824,0.9999187439995673,0.09427585926023441,0.14692842965753028
QSVC-full,QSVC-full_R1_C10_pca3,"{'model__C': 10, 'pca__n_components': 3}",0.7030356207353317,0.04100742488537372,0.6245036069213336,0.05605542404179698,0.6745189300232756,0.05708137636335814,0.6341436991691961,0.05323476786391358,0.5891676235229726,0.0557143397078199,0.8961443009634109,0.015434939191678454,0.6506961324411192,0.060616322181429164,0.6931412144572673,0.9203047067261533,0.903081772458391,0.21726908599082162,0.26893807328919495
QSVC-full,QSVC-full_R1_C10_pca5,"{'model__C': 10, 'pca__n_components': 5}",0.8420754084105395,0.03554510733051392,0.8166667375252403,0.05651152478336031,0.7640959399228802,0.0511211250846321,0.7719838692000384,0.052511995315985736,0.776346851347487,0.04876378327399901,0.9513026558674185,0.01691055410496479,0.8344843017635503,0.05523181279581458,0.8315471988791107,0.9958934956937116,0.9943235198143349,0.15381808728317203,0.2223396506142965
QSVC-full,QSVC-full_R1_C10_pca8,"{'model__C': 10, 'pca__n_components': 8}",0.8919447123235921,0.019357550701477322,0.9081559076170121,0.024256827067633803,0.8151439316319411,0.04724223840751618,0.8323926355280864,0.04878457571528068,0.8452831698891139,0.027177020993975835,0.9849653257904004,0.007258523501772672,0.9349715136422955,0.027067391325213953,0.8966685780383129,0.9998798364341521,0.9998749191403625,0.10793512411056005,0.16748228361227613
QSVC-full,QSVC-full_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.9028034350402138,0.021683387301454967,0.9191119586493937,0.02451838736218748,0.823633802775373,0.035747535945507336,0.848182081459792,0.03169592915625495,0.8605106915742649,0.03055654444107961,0.9900728371978694,0.005099527588572521,0.9531084657965542,0.02296069656973704,0.9105152976811595,1.0,1.0,0.09719656495978624,0.15181791854020799
QSVC-linear,QSVC-linear_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.6879948677792507,0.04932472158155897,0.6078431638953529,0.0576373987239568,0.6678598205308997,0.0535624466572796,0.6179340059349326,0.05466368220185168,0.5703624945116955,0.06617755959631896,0.9025972465266514,0.013414396703149471,0.6559156014342589,0.04635613422989867,0.6863436182083463,0.8914387138274042,0.8544321726704546,0.20344384604815358,0.23649816673552193
QSVC-linear,QSVC-linear_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.8489948229541804,0.035539944108377644,0.8190818819991671,0.046366859063398415,0.780124080335803,0.0489422979576378,0.7852290284995366,0.05001704304993107,0.7864919953176519,0.04813404694380559,0.9620134353046474,0.016587601237227426,0.855844865664414,0.04461003264094859,0.8447732972742589,0.9904175440182371,0.9843184281904757,0.14142272106405673,0.19908939969093908
QSVC-linear,QSVC-linear_R1_C1_pca8,"{'model__C': 1, 'pca__n_components': 8}",0.8945689756981852,0.023597764630262027,0.9091796763728972,0.026790473324578824,0.818219586495902,0.04738345958408715,0.8360955127060541,0.047280329645363765,0.8487820228255913,0.033233720720482,0.9855790489636466,0.007464508400708638,0.933167230296457,0.028331239409009463,0.8978845848051024,0.9989192460613108,0.9989897200082893,0.10435027036312561,0.16289420730223525
QSVC-linear,QSVC-linear_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.9039787725546196,0.02697261786172023,0.9195206009751148,0.02832828672562439,0.827169504667844,0.03614200749349998,0.8509445231463404,0.033363241257707156,0.8622602070320078,0.038193492387092416,0.9898524151160506,0.005475219750712184,0.9533180798828337,0.023031133171230195,0.9117975688483927,0.9998799114282824,0.9999187439995673,0.0959011388736628,0.14897422085322687
QSVC-linear,QSVC-linear_R1_C10_pca3,"{'model__C': 10, 'pca__n_components': 3}",0.6966915495588533,0.039622653772789375,0.6155110191651149,0.05013253614449159,0.6594502184852111,0.04463975380797519,0.6238770529909751,0.044419565334716124,0.580326331099838,0.053840119855089,0.8937737945233104,0.013869702632592486,0.6456944160735825,0.05522221122751463,0.6865782115381589,0.9183835339555095,0.8958889351194304,0.22169198439665627,0.2720118821284553
QSVC-linear,QSVC-linear_R1_C10_pca5,"{'model__C': 10, 'pca__n_components': 5}",0.8419834008012618,0.03574597959252559,0.8279876321020276,0.056455178056882736,0.7625006980504557,0.04908702802115358,0.7713193172511713,0.05046591735481681,0.7761824802782316,0.048955853115425864,0.9505546093673125,0.015452659450958776,0.8277509954134133,0.049321305888811715,0.8290538509345668,0.9957494723842204,0.9936078208916719,0.15376607158295863,0.22228850364050057
QSVC-linear,QSVC-linear_R1_C10_pca8,"{'model__C': 10, 'pca__n_components': 8}",0.8922393617589772,0.020046736491140298,0.9088125008102825,0.024366520777754752,0.8153613055393857,0.04723182114097733,0.8327803943164817,0.04885085815110545,0.8457080800858348,0.0281299502145,0.9846400916267417,0.007037156461717245,0.9328527524477721,0.026572607002198906,0.8961623956023903,0.999903886458202,0.9999129760672437,0.10766452469922483,0.16713258175076207
QSVC-linear,QSVC-linear_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.9019457454934822,0.022466127269278147,0.9187967708332645,0.024682571182245365,0.8216684420838183,0.038224457153409275,0.8459854463926468,0.03461129731820993,0.8592924971462967,0.03162860788502616,0.9896100030861241,0.00552239992472392,0.9519510015444123,0.023418723909049373,0.9091942321700692,1.0,1.0,0.09805425450651784,0.15401455360735317
QSVC-circular,QSVC-circular_R1_C1_pca3,"{'model__C': 1, 'pca__n_components': 3}",0.6932801196233341,0.0526672790419191,0.6109979379548081,0.058844422555489606,0.66845700483067,0.053714801984797514,0.6203906912401402,0.05507558663611285,0.577260531850068,0.07015159052314322,0.9040223443239528,0.013574982853534865,0.6564387403321217,0.04382824528329209,0.6884865658324321,0.892087374747488,0.8565463839803054,0.19880725512415387,0.23615569274016512
QSVC-circular,QSVC-circular_R1_C1_pca5,"{'model__C': 1, 'pca__n_components': 5}",0.8492846705647482,0.036076975966776816,0.8218966708465194,0.04578979401389671,0.7811026558022203,0.04999013096926039,0.7859267696041987,0.05064440215809953,0.7869071178688378,0.048906221472590876,0.9618390583873033,0.016599625494271106,0.8564055974126947,0.044274204534644555,0.8452619753171042,0.9903694814868771,0.9841665343636853,0.14108481092212888,0.19823976475948657
QSVC-circular,QSVC-circular_R1_C1_pca8,"{'model__C': 1, 'pca__n_components': 8}",0.8946644410919798,0.023567385270111152,0.9092362982190739,0.026779324228160473,0.8183071138481995,0.04740467362334357,0.8361765379571919,0.04731668628558556,0.8489127800377736,0.033194030389610545,0.9849935965331904,0.008193924092697076,0.9326671716278871,0.028486115699435967,0.8977666998679886,0.9989192460613108,0.9989897200082893,0.10425480496933093,0.1628131820510974
QSVC-circular,QSVC-circular_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.9040750189453799,0.027118069401171722,0.9195607438467184,0.02839222065262774,0.8272549747533141,0.0360331861082618,0.8510105083175722,0.03329837161999489,0.8623990667863938,0.03840416722469306,0.9899282086638841,0.005419472356129412,0.954766446692993,0.02353609587698795,0.9123254961345874,0.9998799114282824,0.9999187439995673,0.09580489248290247,0.14890823568199507
QSVC-circular,QSVC-circular_R1_C10_pca3,"{'model__C': 10, 'pca__n_components': 3}",0.7030356207353317,0.04100742488537372,0.6245036069213336,0.05605542404179698,0.6745189300232756,0.05708137636335814,0.6341436991691961,0.05323476786391358,0.5891676235229726,0.0557143397078199,0.8963913167112263,0.01514988262095357,0.650218041173187,0.05972561489054726,0.6929818507012898,0.9203047067261533,0.903081772458391,0.21726908599082162,0.26893807328919495
