model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QSVC-star,QSVC-star_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.9090734462877638,0.03204837056270456,0.9238754903631697,0.031899648355702165,0.8697986299755117,0.04815250633438097,0.8868636011589273,0.04747261250774107,0.8695901800249694,0.04551889064516278,0.9903507393937998,0.0054014938115157715,0.9643419505524665,0.021227582159750395,0.9286668805746262,0.9999039355457979,0.9999348750775722,0.09083048925803416,0.11307127391864491
QSVC-y_full,QSVC-y_full_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.905604052168048,0.02678307238907777,0.9202210256356421,0.02823939419935463,0.8297834256506655,0.03526107973280654,0.852990314342037,0.03250652948106601,0.8645757648955945,0.03798681981753409,0.9900807434486986,0.005329952409251252,0.9540577898932326,0.023223233284855302,0.9131119955610223,0.9998799114282824,0.9999187439995673,0.09427585926023441,0.14692842965753028
QSVC-y_circular,QSVC-y_circular_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.9040750189453799,0.027118069401171722,0.9195607438467184,0.02839222065262774,0.8272549747533141,0.0360331861082618,0.8510105083175722,0.03329837161999489,0.8623990667863938,0.03840416722469306,0.9898922697280954,0.005454058217994599,0.954503513855957,0.023742554797188224,0.9122378518555753,0.9998799114282824,0.9999187439995673,0.09580489248290247,0.14890823568199507
QSVC-y_linear,QSVC-y_linear_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.9039787725546196,0.02697261786172023,0.9195206009751148,0.02832828672562439,0.827169504667844,0.03614200749349998,0.8509445231463404,0.033363241257707156,0.8622602070320078,0.038193492387092416,0.9897759377618751,0.005549270725203447,0.9532828213380509,0.022924202468746033,0.9117858160001319,0.9998799114282824,0.9999187439995673,0.0959011388736628,0.14897422085322687
QSVC-full_cosine,QSVC-full_cosine_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.8970858259928441,0.026123930102799238,0.9123653108394292,0.024212910654480998,0.8213684560796498,0.03854769512341428,0.8438505476107746,0.03705422713647916,0.852599825024482,0.03659526645921558,0.98811601138943,0.006109548644690668,0.9486373799891454,0.02705234059140112,0.9062626133707203,0.9998799547304502,0.9999187105039459,0.10279412873760607,0.15606816289317127
QSVC-circular_cosine,QSVC-circular_cosine_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.896698910794002,0.026498355468592933,0.9125180186488752,0.024744649891775036,0.8188110511280338,0.04026503743986183,0.8413106936340823,0.0392452326604785,0.8519542474872999,0.037186064273807544,0.9881665842318563,0.0060156433695559034,0.948805677987489,0.027555330315493013,0.9053644984550737,0.9998799547304502,0.9999187105039459,0.10318104393644822,0.1586080168698636
QSVC-linear_cosine,QSVC-linear_cosine_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.8967944674112976,0.026399288782553435,0.9126742948433593,0.024609597495271286,0.8188541081786258,0.04023333617251355,0.8414211621201236,0.03916210244995322,0.8520869457543917,0.037046878837090416,0.9881397803112906,0.006069804292812091,0.9485792930020283,0.028055179144025603,0.9053479759997826,0.9998799547304502,0.9999187105039459,0.10308548731915257,0.15849754838382224
QSVC-linear_polynomial4,QSVC-linear_polynomial4_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.883609023365781,0.025726444134336227,0.8885791619884541,0.033035691080614354,0.829540448838673,0.019089583617822897,0.8491962288434649,0.025975719967430044,0.8330549928448681,0.036167292086087585,0.9799772570478963,0.008764235872597507,0.9272588209172792,0.025943667144074634,0.897660848727726,0.998727419804967,0.9990727949603639,0.11511839643918609,0.14987656611689903
QSVC-circular_polynomial4,QSVC-circular_polynomial4_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.8829348674409745,0.02496102322757206,0.8879823327418798,0.03260595877861259,0.8289919625420831,0.018693137370898418,0.8486105611833545,0.02548619875163035,0.8321235448802028,0.0350145862318256,0.9796749169471608,0.008830271265775893,0.9262211359942704,0.026265674478454976,0.8969644898725755,0.9986793139714392,0.999040516719138,0.11574444653046467,0.15042995553578342
QSVC-circular_quadratic,QSVC-circular_quadratic_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8887180301016974,0.023167464620555772,0.9005207267055872,0.031055103828735182,0.8131165244551702,0.029850110465477152,0.8393832880501615,0.025928918405404927,0.8403944961503402,0.03182131812054212,0.9827908425038343,0.00726864052872549,0.9264245296076465,0.023648943795676874,0.8953350219109927,1.0,1.0,0.11128196989830264,0.1606167119498385
QSVC-linear_quadratic,QSVC-linear_quadratic_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8887180301016974,0.023167464620555772,0.9005207267055872,0.031055103828735182,0.8131165244551702,0.029850110465477152,0.8393832880501615,0.025928918405404927,0.8403944961503402,0.03182131812054212,0.9829377558166872,0.006932570225240837,0.9261200633387732,0.02378874410042675,0.8952335331547016,1.0,1.0,0.11128196989830264,0.1606167119498385
QSVC-circular_polynomial,QSVC-circular_polynomial_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.8867209683434233,0.025668120633432007,0.8961590504440421,0.03114040570901783,0.8106724399342837,0.01922366059080098,0.8380713260967101,0.01861500123431171,0.8369429622819361,0.03694525623830787,0.981417580404765,0.007938256092680304,0.9230326141187511,0.03124677982131848,0.8931918071188097,0.9989190529162141,0.9990849877348038,0.11219808457279079,0.16101366163809372
QSVC-linear_polynomial,QSVC-linear_polynomial_R1_C1_pca12,"{'model__C': 1, 'pca__n_components': 12}",0.8869136941650971,0.026016802143514116,0.8962867394908367,0.031276337961914244,0.8100099383057797,0.018931208909146922,0.8374742428006557,0.018523208496349947,0.8372128947369861,0.037445179229663055,0.9814920609141469,0.00789623475288062,0.9234688730273944,0.03168899545776483,0.8931831877321811,0.9988710394724498,0.9990309311635777,0.11195734530735268,0.16155668836292192
QSVC-full_quadratic,QSVC-full_quadratic_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.881212091652492,0.023140757700720525,0.8917333943007277,0.03322658111774685,0.7970580799573923,0.02445301855351802,0.8209661747278838,0.02003017271669565,0.8304042484229909,0.031205769093877175,0.9778193955994009,0.01023179678494426,0.9178212983250678,0.030457462470675514,0.8846631990881489,0.9999759441905219,0.9999838325663417,0.1187638525380299,0.1790176578384579
QSVC-full_polynomial,QSVC-full_polynomial_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8599337044285933,0.02689162511575082,0.8438326527843097,0.04283772529559115,0.7771430121282569,0.013831278774449679,0.7995239023607985,0.02500266753210733,0.7984207485780441,0.03767623844025963,0.9693919408774241,0.006662978803922007,0.8729198707766344,0.02625669140261629,0.8572180491421516,0.9998799315993224,0.9999191626136608,0.13994622717072913,0.20039526025286225
QSVC-full_polynomial4,QSVC-full_polynomial4_R1_C10_pca12,"{'model__C': 10, 'pca__n_components': 12}",0.8378874301994289,0.011543397285291409,0.7942714512341487,0.04232755690438919,0.7435792978831218,0.031243406397520393,0.758772210433279,0.03189049870870399,0.7660390623980613,0.014419874426411954,0.9567881244838908,0.013365265938330864,0.823726108288921,0.04105848319145229,0.821839283307077,0.9996877593887504,0.9997897047472938,0.16180032918932152,0.24101749431401476
QSVC-x_full,QSVC-x_full_R1_C10_pca3,"{'model__C': 10, 'pca__n_components': 3}",0.1729942160473956,0.1523202712613193,0.03459884320947912,0.030464054252263856,0.2,0.0,0.05372321795955459,0.040766318376119055,0.0,0.0,0.49898773745641317,0.011557455296031952,0.20244041692736228,0.0034147480479902173,0.2520545449623056,0.17408516217697037,0.054155805659075594,0.0010909461295747769,0.0004325876995210018
