model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QXGB-full,QXGB-full_R1_md4_pca3,"{'model__max_depth': 4, 'pca__n_components': 3}",0.7076585271613747,0.05501989805782592,0.651053103998271,0.10492070964060236,0.6175986932483205,0.05012031997266092,0.6234834698371688,0.06709472212214987,0.5821577206659001,0.07553211779109628,0.9064961898946992,0.026523583504167666,0.6777509786669456,0.07722563569731483,0.6974377696123547,0.9929380844332032,0.9941373923471746,0.2852795572718285,0.37065392251000573
QXGB-full,QXGB-full_R1_md4_pca5,"{'model__max_depth': 4, 'pca__n_components': 5}",0.8346172787897961,0.03675857164325606,0.8094022130696885,0.05422443831726475,0.7647709614236025,0.0637268292015712,0.7750492045074275,0.0611821220627269,0.7641210713129118,0.05142033888248355,0.9577236668887981,0.015049336176076063,0.8393165390168817,0.05223674761299638,0.8321420930602551,1.0,1.0,0.16538272121020392,0.22495079549257246
QXGB-full,QXGB-full_R1_md4_pca8,"{'model__max_depth': 4, 'pca__n_components': 8}",0.884899525145315,0.029980034567844403,0.879847880358539,0.02957720633129049,0.8180017882669459,0.03893793639675703,0.8382277949224397,0.03713084526104306,0.8344316146494604,0.042687561459947045,0.9774983329198015,0.008373278743539693,0.9035317186089401,0.03147775318054433,0.8863251069520367,1.0,1.0,0.115100474854685,0.1617722050775603
QXGB-full,QXGB-full_R1_md4_pca12,"{'model__max_depth': 4, 'pca__n_components': 12}",0.8811053535825657,0.02266018407857874,0.8875922359262015,0.024660099311928273,0.8247944136763383,0.0316817304690027,0.8457900999898957,0.03134633390547465,0.8290801051948808,0.031943488437985536,0.9812934129729953,0.01001065915220828,0.9233132311555925,0.03913720843982747,0.8945477945809763,1.0,1.0,0.1188946464174343,0.15420990001010426
QXGB-full,QXGB-full_R1_md6_pca3,"{'model__max_depth': 6, 'pca__n_components': 3}",0.7052691119020945,0.0566595745410163,0.6290000825547928,0.07002022504332875,0.6101196454138671,0.040227936755890696,0.6115042192974268,0.048287163604963206,0.5792723772166524,0.0778226302022937,0.9036283082289019,0.02862844120176895,0.6658526582747649,0.06760778009222754,0.6889976887268393,1.0,1.0,0.2947308880979055,0.3884957807025732
QXGB-full,QXGB-full_R1_md6_pca5,"{'model__max_depth': 6, 'pca__n_components': 5}",0.8410240621924026,0.03033725567633347,0.8166253263112028,0.05179926035538046,0.7705164922590874,0.06224335679359538,0.7812990441028184,0.058689287843735775,0.7731191451172252,0.042498097212802795,0.9596188095273043,0.017138898667203233,0.8494884402623603,0.055301710922725025,0.8391156856412638,1.0,1.0,0.15897593780759744,0.21870095589718164
QXGB-full,QXGB-full_R1_md6_pca8,"{'model__max_depth': 6, 'pca__n_components': 8}",0.8720183642523172,0.031667540996867534,0.8745562537035599,0.025658674492271407,0.80936555811455,0.035715865573949436,0.830838417280682,0.03425733535888684,0.8159158467572458,0.04510701055836323,0.9762680747697102,0.009540493586570768,0.8996439084508492,0.033624230575509194,0.879480083036718,1.0,1.0,0.12798163574768284,0.16916158271931803
QXGB-full,QXGB-full_R1_md6_pca12,"{'model__max_depth': 6, 'pca__n_components': 12}",0.8815869408634377,0.02562724281585224,0.8864710131471911,0.028171952063952874,0.8292616868322946,0.0223241093901977,0.8490766956036527,0.026409767072698362,0.8299873472235527,0.036076973368861454,0.9798899982850446,0.009728097027089731,0.9240871525941877,0.038891296489598534,0.8960525072698723,1.0,1.0,0.1184130591365623,0.15092330439634727
QXGB-linear,QXGB-linear_R1_md4_pca3,"{'model__max_depth': 4, 'pca__n_components': 3}",0.6981502544005269,0.04876675955219563,0.625573721715908,0.05068426392740142,0.6109696991557738,0.03925510505188153,0.6098182131733049,0.040675120433107656,0.568955036870977,0.0667719997604447,0.9094986275623693,0.022025959573867642,0.6628092881439877,0.057840527577507406,0.685701673250927,0.992650918075209,0.993876946052999,0.2945006636746821,0.38405873287969416
QXGB-linear,QXGB-linear_R1_md4_pca5,"{'model__max_depth': 4, 'pca__n_components': 5}",0.8345274943011975,0.03684969668698382,0.8257145034634217,0.06608810657407285,0.7619692088586337,0.05446626436118386,0.7785728721089822,0.059466327965167216,0.7637707267744285,0.05084581020424295,0.9572159680013799,0.018345622596592264,0.850310687358778,0.054483616667320135,0.8369229742849914,1.0,1.0,0.16547250569880245,0.22142712789101782
QXGB-linear,QXGB-linear_R1_md4_pca8,"{'model__max_depth': 4, 'pca__n_components': 8}",0.8768885517785782,0.03247436676147745,0.87783507574056,0.03823938780942793,0.8125716043175382,0.045405556239735925,0.8342389677674464,0.04544403820763911,0.822764741933981,0.046358392294814546,0.9776920726866377,0.01041021659273736,0.91083967618554,0.04213092113581792,0.8854870049733256,1.0,1.0,0.12311144822142184,0.16576103223255356
QXGB-linear,QXGB-linear_R1_md4_pca12,"{'model__max_depth': 4, 'pca__n_components': 12}",0.8819934530541707,0.026861893175872148,0.8769180501748863,0.04152303961053422,0.8147313418588242,0.031184962818752694,0.8354312233549942,0.03562639004619136,0.8305125307600386,0.037732086311614274,0.9798904735590794,0.01020208520652552,0.9194898956938145,0.036525931483783525,0.8900591281429427,1.0,1.0,0.11800654694582935,0.1645687766450058
QXGB-linear,QXGB-linear_R1_md6_pca3,"{'model__max_depth': 6, 'pca__n_components': 3}",0.6965230372627642,0.047247576687477685,0.6203080839605467,0.05214282293861553,0.6091818661982704,0.03899785095907142,0.6060321518324077,0.040569820959438375,0.5666366391760034,0.06485746382199853,0.9023203009106403,0.022491531875605302,0.6589159990382631,0.05705413604769161,0.6827554901528908,1.0,1.0,0.3034769627372358,0.39396784816759234
QXGB-linear,QXGB-linear_R1_md6_pca5,"{'model__max_depth': 6, 'pca__n_components': 5}",0.8330361311421527,0.0274525107073271,0.8119963950199045,0.06357669614907958,0.7647065875458801,0.053258922375657554,0.7753332906435908,0.05651086171722103,0.7615492785271833,0.03756742325309877,0.9587173222682435,0.013896307638206375,0.8408984822090828,0.054077845882128044,0.8323354707054218,1.0,1.0,0.1669638688578473,0.2246667093564092
QXGB-linear,QXGB-linear_R1_md6_pca8,"{'model__max_depth': 6, 'pca__n_components': 8}",0.8776588771384082,0.027609834512659626,0.8794521049765931,0.036649425194333944,0.8152152175820866,0.04263209831487096,0.8365785284379325,0.041755430098570995,0.8239231217942136,0.03951536745915365,0.9774152292547681,0.009203420284306365,0.9064287174215716,0.04431623502621043,0.8849896022522036,1.0,1.0,0.12234112286159182,0.16342147156206754
QXGB-linear,QXGB-linear_R1_md6_pca12,"{'model__max_depth': 6, 'pca__n_components': 12}",0.8817745655246612,0.025957329658587772,0.8719528430880296,0.04054857773366518,0.8242064614959677,0.038371134446781884,0.8400242612656031,0.038990196957887614,0.8302875156754037,0.0367026026564921,0.9798443563761309,0.010200047412193167,0.920785365672929,0.04103279806480093,0.8919844615920779,1.0,1.0,0.11822543447533884,0.15997573873439686
QXGB-circular,QXGB-circular_R1_md4_pca3,"{'model__max_depth': 4, 'pca__n_components': 3}",0.7076585271613747,0.05501989805782592,0.651053103998271,0.10492070964060236,0.6175986932483205,0.05012031997266092,0.6234834698371688,0.06709472212214987,0.5821577206659001,0.07553211779109628,0.9064961898946992,0.026523583504167666,0.6777509786669456,0.07722563569731483,0.6974377696123547,0.9929380844332032,0.9941373923471746,0.2852795572718285,0.37065392251000573
