paradigm,model,config,acc,precision,recall,f1,mcc,auroc,prauc,composite,gap_f1,train_f1
Quantum,QSVC-star_v2,QSVC-star_v2_R1_C1_g0.5_pca12,0.9179289197568372,0.9219914321629602,0.9108454464076868,0.9109573935265488,0.8834094570144749,0.9909764044144674,0.9777225443723656,0.9434615554687172,0.0855470607662424,0.9965044542927912
Deep Learning,MLP,MLP_R1_pca12,0.917841838017311,0.9228253324605216,0.8980202554291161,0.9025076856022456,0.882820975612869,0.9924155360153092,0.9737176989035816,0.9392119574374204,0.0974058053356904,0.999913490937936
Classical,CatBoost,CatBoost_R1_depth6_it500_l23_lr0.1_pca12,0.9075749130886324,0.9135330789665884,0.9172093572677932,0.9123811557927332,0.8688857370210414,0.9894571979845898,0.9669087033162548,0.9379109092065028,0.087553618968065,0.9999347747607984
Classical,SVC-rbf,SVC-rbf_R1_C100_gscale_pca12,0.9154852040301956,0.9051458894638882,0.9131854387855368,0.9067884865113875,0.880046113403002,0.9915744257635656,0.9667382887786012,0.9378499439971634,0.0930647408440736,0.9998532273554612
Quantum,QSVC-star,QSVC-star_R1_C1_g0.25_pca12,0.9113946239999512,0.9157357693082486,0.8893444853493513,0.8953413952152067,0.8740414661240049,0.9903078935624324,0.9683282687922178,0.933563465689809,0.1019300231685432,0.99727141838375
Quantum,QSVC-star,QSVC-star_R1_C1_g0.5_pca12,0.911264968740084,0.9212618452112592,0.8817498355859547,0.8923623540051799,0.8732601590474699,0.9910213474876588,0.971379097267096,0.9334571769320036,0.1071299085317216,0.9994922625369016
Deep Learning,1D-CNN,1D-CNN_R1_pca12,0.905807496683684,0.9064390956689088,0.8971371095445664,0.8933997409201584,0.8671781809537757,0.9907348088151904,0.965080481932899,0.9306897711099816,0.1058554384807612,0.9992551794009196
Quantum,QSVC-star,QSVC-star_R1_C1_pca12,0.9090734462877638,0.9238754903631696,0.8697986299755117,0.8868636011589273,0.8695901800249694,0.9903507393937998,0.9643419505524664,0.9286668805746262,0.1130712739186449,0.9999348750775722
Quantum,QSVC-reup_lite,QSVC-reup_lite_R1_C1_g1_pca12,0.9070581846641546,0.9138291567022548,0.8758994935336526,0.8861538577123825,0.8673019398347585,0.9900572186420497,0.9642010821201716,0.9280019699166444,0.1118519075868533,0.998005765299236
Quantum,QSVC-reup_linear,QSVC-reup_linear_R1_C1_pca12,0.9007146470473206,0.9158293082175548,0.8680407575936551,0.8818395061864752,0.8577824571174283,0.98974276221279,0.9646750972320188,0.925135277325736,0.1181115640315816,0.9999510702180568
Quantum,QSVC-reup_circular,QSVC-reup_circular_R1_C1_pca12,0.900427193020801,0.915617336080369,0.867650421196239,0.8814940217370009,0.8573942284615839,0.9897160212890252,0.9641963830580966,0.9247958396752964,0.1184570484810559,0.9999510702180568
