keluarga,metrik,classical,quantum,delta(Q-C)
SVM / kernel,acc,0.9155,0.9091,-0.0064
SVM / kernel,precision,0.9051,0.9239,0.0187
SVM / kernel,recall,0.9132,0.8698,-0.0434
SVM / kernel,f1,0.9068,0.8869,-0.0199
SVM / kernel,mcc,0.88,0.8696,-0.0105
SVM / kernel,auroc,0.9916,0.9904,-0.0012
SVM / kernel,prauc,0.9667,0.9643,-0.0024
SVM / kernel,composite,0.9378,0.9287,-0.0092
Boosting (Cat),acc,0.9076,0.883,-0.0246
Boosting (Cat),precision,0.9135,0.8576,-0.0559
Boosting (Cat),recall,0.9172,0.8711,-0.0461
Boosting (Cat),f1,0.9124,0.8554,-0.0569
Boosting (Cat),mcc,0.8689,0.8339,-0.035
Boosting (Cat),auroc,0.9895,0.9813,-0.0082
Boosting (Cat),prauc,0.9669,0.9299,-0.037
Boosting (Cat),composite,0.9379,0.9008,-0.0371
Boosting (XGB),acc,0.8979,0.8816,-0.0163
Boosting (XGB),precision,0.9114,0.8865,-0.0249
Boosting (XGB),recall,0.8848,0.8293,-0.0556
Boosting (XGB),f1,0.8934,0.8491,-0.0443
Boosting (XGB),mcc,0.8544,0.83,-0.0244
Boosting (XGB),auroc,0.9844,0.9799,-0.0045
Boosting (XGB),prauc,0.9519,0.9241,-0.0278
Boosting (XGB),composite,0.9242,0.8961,-0.0281
