model,config,params,acc,acc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,auroc,auroc_std,prauc,prauc_std,composite,train_acc,train_f1,gap_acc,gap_f1
QSVC-star,QSVC-star_R1_C1_g0.25_pca3,"{'model__C': 1, 'model__gamma': 0.25, 'pca__n_components': 3}",0.7027511369937951,0.05367594168440238,0.6654628826269512,0.07929719336651792,0.7232467868162658,0.04873196362381068,0.6724666813501556,0.06896085424507029,0.5949476384967778,0.0626150747351558,0.9261547204681788,0.01602604927294041,0.7612737077103887,0.05615223393511931,0.743738069436311,0.8560627157265888,0.8468597792829768,0.15331157873279366,0.1743930979328212
QSVC-star,QSVC-star_R1_C1_g0.25_pca5,"{'model__C': 1, 'model__gamma': 0.25, 'pca__n_components': 5}",0.8687240050201762,0.04042918054612083,0.8605281436044437,0.0512368231023383,0.8578271403190089,0.057369524380505736,0.8505094736643736,0.062107172092129445,0.8162385220006392,0.05473037690403408,0.9766923225233626,0.00886848913736151,0.9152436818349254,0.04077772225324277,0.8912908054998728,0.969284571821931,0.9691075297271636,0.10056056680175474,0.11859805606279006
QSVC-star,QSVC-star_R1_C1_g0.25_pca8,"{'model__C': 1, 'model__gamma': 0.25, 'pca__n_components': 8}",0.9061104756745753,0.02934170700924366,0.9098725575744077,0.03478924688204832,0.8862083665165839,0.04287297643379797,0.8906657730749735,0.04325318046952221,0.8666302328585855,0.040960681856764686,0.9852869730639121,0.006314794701755996,0.9432341159779343,0.03481239090870963,0.9224050018274003,0.9912582936787422,0.9919395801352954,0.08514781800416693,0.10127380706032185
QSVC-star,QSVC-star_R1_C1_g0.25_pca12,"{'model__C': 1, 'model__gamma': 0.25, 'pca__n_components': 12}",0.9113946239999512,0.025834438769711476,0.9157357693082486,0.031392531308428666,0.8893444853493513,0.04031555678886447,0.8953413952152067,0.04011371841300248,0.8740414661240049,0.036006413272024675,0.9900856967093837,0.005399401703638254,0.9676212390194454,0.018190376745137155,0.9333277890988848,0.9968295337925991,0.99727141838375,0.0854349097926479,0.10193002316854327
QSVC-star,QSVC-star_R1_C1_g0.5_pca3,"{'model__C': 1, 'model__gamma': 0.5, 'pca__n_components': 3}",0.7185370527286569,0.05951097493242662,0.6963065654946208,0.08304598633080135,0.7305209191312185,0.05290816311205623,0.695879722703346,0.07169604589513585,0.6121956378796582,0.07496777739902645,0.9263885983649034,0.014596588525085495,0.7721721749156519,0.05865541473222023,0.7580499055196089,0.8873090151011119,0.8855681393144434,0.16877196237245506,0.18968841661109748
QSVC-star,QSVC-star_R1_C1_g0.5_pca5,"{'model__C': 1, 'model__gamma': 0.5, 'pca__n_components': 5}",0.8664934357714082,0.04056623441193363,0.8782283577454757,0.043323769792977904,0.8507484762627155,0.053746514686562365,0.8528269849970759,0.05644731438292531,0.811770502612915,0.055296382442739746,0.977159058905599,0.010872250451811885,0.9169816346554235,0.042067005642896164,0.8918979569863189,0.9839336643090985,0.9825715656624038,0.1174402285376902,0.1297445806653279
QSVC-star,QSVC-star_R1_C1_g0.5_pca8,"{'model__C': 1, 'model__gamma': 0.5, 'pca__n_components': 8}",0.9018598289579443,0.025751689780526176,0.9154018193374543,0.028263239202852217,0.8767340337718904,0.04706297719832776,0.8868825908261695,0.04470927175503165,0.8599025654707144,0.036105809202389996,0.9870331766207249,0.00675019956433206,0.9506717045399912,0.031252851349240295,0.9225018593671725,0.9978628396384496,0.9980394092721692,0.09600301068050532,0.11115681844599967
QSVC-star,QSVC-star_R1_C1_g0.5_pca12,"{'model__C': 1, 'model__gamma': 0.5, 'pca__n_components': 12}",0.9112649687400841,0.026793868227813787,0.9212618452112592,0.029761537972954444,0.8817498355859547,0.04822759331931602,0.8923623540051799,0.045735732217701414,0.8732601590474699,0.037834142958246955,0.9910213474876588,0.005003087896778731,0.9713790972670961,0.01792330789958541,0.9334571769320036,0.999423866995168,0.9994922625369016,0.08815889825508394,0.10712990853172166
QSVC-star,QSVC-star_R1_C10_g0.25_pca3,"{'model__C': 10, 'model__gamma': 0.25, 'pca__n_components': 3}",0.7278325106082225,0.056300878434702245,0.7100970845858019,0.08090302766532764,0.7320754945467192,0.04937640276861329,0.7066822448743134,0.06719747761527484,0.6218996891695643,0.07246652949567214,0.9251283525569167,0.01824510943162188,0.7739515803469502,0.07080371221306214,0.763861223268682,0.8964607793639858,0.8990372091474761,0.1686282687557633,0.19235496427316268
QSVC-star,QSVC-star_R1_C10_g0.25_pca5,"{'model__C': 10, 'model__gamma': 0.25, 'pca__n_components': 5}",0.8541224064427967,0.0416177222216917,0.845219599960307,0.05936346319202546,0.8407984439888783,0.05134034492902711,0.8364328708548362,0.05849032314357736,0.7943284704802558,0.05770297914114413,0.9731246346882385,0.015532837737076064,0.9052599384865168,0.0483944015748914,0.8796190148604935,0.9900332208248044,0.9887382571200023,0.1359108143820077,0.1523053862651661
